,r ($\AA$),g_full(r),Si (TFMTMS),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),O (DOL),O (DOL),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
73,3.675,0.9533950911650104,0.0,5.275782997128201,1.9972607060556744,1.695787391934065,2.0820500756523788,2.044365911387177,0.9344801427613536,0.9327102940061238,0.037113192079365,5.826771156460315,5.232960083190474,4.045337936650792,6.420582229730156,0.1484527683174602,1.4474144910952376,1.3360749148571422,0.5498811724412048
74,3.725,0.964549252456619,0.0,6.162124679679791,1.8798148204380327,2.228268299348497,2.072381216678026,1.916494134007555,1.1938003466323277,1.2833784390203236,0.0722471327884534,5.274040693557101,4.912805029614833,4.298704400912979,4.443198666489885,0.0722471327884534,1.4810662221632955,1.0114598590383486,0.8149918907921978
75,3.775,0.9630107603717494,0.0,6.446399547946002,2.3392751822186324,2.2142757450008403,2.276775463609737,2.4732031506662646,1.5213339845530105,1.472691552852859,0.0351730018145295,4.607663237703368,4.889047252219606,4.572490235888839,4.044895208670894,0.0351730018145295,0.9144980471777676,1.3717470707666513,1.0778012698880843
76,3.825,0.9553123757706902,0.0,6.731195131436135,2.374181228529795,2.4872374775074046,2.4785408429706663,2.487237477507405,1.8722899035887348,1.78733434077319,0.1370378775486175,3.3916874693282826,4.7620662448144575,4.522249959104376,4.145395795845676,0.0342594693871543,1.8157518775191817,1.8157518775191817,1.4651166959343254
77,3.875,0.9632675651080942,0.0,7.634764310890645,2.694622697961405,2.618359791415328,2.8386748547706597,2.643780760264018,2.3766646646641254,2.2286205830741963,0.0667621404107075,3.33810702053538,4.806874109570944,4.3395391266959935,4.072490565053162,0.0667621404107075,1.5021481592409198,2.136388493142642,1.461273379397628
78,3.925,0.9923899946122016,0.0,8.06918460932627,3.1054384985738763,2.865923295226423,3.0311061940867354,2.874182440169437,2.8812719374182136,2.7416303249423715,0.0650720510661837,2.7330261447797155,5.140692034228516,4.457435498033584,2.765562170312808,0.1626801276654594,1.9196255064524197,2.114841659650971,2.2569377711628444
79,3.975,1.0201180441569722,0.0,8.898208316042961,3.357966396189968,3.2452289152627265,3.2532815924718146,3.309650332935437,3.361410893955706,3.216183420589482,0.063445335586759,2.252309413329948,4.790122836800312,4.060501477552582,2.569536091263743,0.063445335586759,1.5544107218755976,2.030250738776291,3.140544111544576
80,4.025,1.0302304276479803,0.0,9.291111530285988,3.3457426136110158,3.251496342805071,3.589212146526374,3.510673587521417,3.43628894652164,3.443666123306787,0.2784548910175621,2.1657602634699287,5.259703496998402,5.012188038316123,2.011063101793505,0.1237577293411387,1.51603218442895,2.0110631017935057,3.792290420524893
81,4.075,1.0228103602131402,0.0,9.784767383001642,3.6779078651846375,3.647258632974766,3.7698555618142535,4.497774826798713,3.358239030683556,3.116411273651908,0.1207393996146473,1.6903515946050631,5.644566931984762,4.618282035260259,1.8412758441233716,0.1207393996146473,1.9922000936416808,1.7205364445087252,4.3503144901971424
82,4.125,1.0081536145198884,0.0,10.737953026022677,4.135158790661939,3.9108282956893223,4.194980255987972,3.9482167115180906,2.7828435631164967,2.8657248201704446,0.1767452384632752,1.11938651026741,5.007781756459459,4.8899515974839405,1.5317920666817182,0.1178301589755168,1.885282543608268,2.4449757987419707,5.624285981099223
83,4.175,1.0049521985238503,0.0,10.672090642298452,4.481986083701268,4.76667249618392,4.44548782569067,4.277595838841924,2.19411493242893,2.18040171410125,0.1437810164053806,0.9201985049944368,5.2623852004369285,6.297608518555668,1.2652729443673505,0.230049626248609,2.3292524657671683,2.5593020920157774,5.6937282496530734
84,4.2250000000000005,1.0125713238238951,0.0,11.483051913385214,4.333765092078343,4.611753313445212,4.711543957012806,4.469195251205792,1.6041902177143894,1.543932655279375,0.280796183198856,0.8423885495965677,4.745455496060669,4.942012824299869,1.1231847327954234,0.2527165648789704,2.3586879388703887,2.218289847270961,5.427389083829314
85,4.275,1.0214750328625777,0.0,11.257789244083444,4.365265217093579,4.588053872511434,4.824766818892903,4.337416635166346,1.1849732584499124,1.147043650839485,0.4113995057431964,0.6582392091891143,4.88194080148593,4.96422070263457,0.6856658429053274,0.2742663371621309,2.331263865878113,2.440970400742965,5.532063966003923
86,4.325,1.0228924480987458,0.0026008041993033,10.951386297681784,4.727461786887481,4.605023927658743,4.271720866424949,4.448575551977573,0.8702170582466606,0.9468881647001112,0.3483501382097164,0.7502926053747738,4.608940290159325,5.868360020609841,0.5091271250757393,0.3215539737320459,2.250877816124321,2.250877816124321,4.412343940573148
87,4.375,1.018391961621408,0.0,9.811734744256094,4.081575293342308,3.902092340703476,4.247763212452335,3.602954086305421,0.6993341335959589,0.7442913278985567,0.2880590597907164,0.3666206215518209,5.106501514471793,5.211250263486596,0.5499309323277312,0.3404334342981194,2.3044724783257307,2.7234674743849543,3.65952581060655
