,r ($\AA$),g_full(r),O (DOL),O (DOL),O (TFEE),O (TFEE),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
57,2.875,0.8330477520292807,0.1225117292836367,0.1225117292836367,0.0070837330100498,0.0,0.1333921416046311,1.0819584819042312,0.9633876893667808,0.904102293098056,0.8892809440308749,0.2919356634444789,11.560652272401365,1.1677426537779152,1.4596783172223946,14.071298978023885,0.1751613980666873,0.2919356634444789,0.3503227961333747,0.0
58,2.9250000000000003,0.8144386308059387,0.1183591938019279,0.0887693953514458,0.0,0.0,0.2147846908503516,0.8448197840113826,1.0882424336417809,0.7445869282812186,0.8161818252313358,0.1128162012547301,12.296965936765591,1.6922430188209527,1.8614673207030483,12.804638842411874,0.1128162012547301,0.3948567043915555,0.9025296100378412,0.0
59,2.975,0.8184413495928997,0.1430178235058367,0.1534191197608066,0.0,0.0,0.1661007001947507,0.9966042011685045,1.0519711012334214,0.705927975827691,0.7197697008439203,0.1635840229190727,12.050689688371689,2.126592297947944,2.835456397263926,11.832577657812925,0.2726400381984545,0.3271680458381454,0.3816960534778364,0.0
60,3.0250000000000004,0.8394271791737692,0.1232386897522482,0.1031180873437178,0.0,0.0,0.2275949680134142,0.9907075078230972,0.6961728433351494,0.8702160541689368,0.8568281148740301,0.210961467677318,12.499466959881088,2.1096146767731816,3.0062009144017816,11.708361456091144,0.105480733838659,0.7911055037899427,0.7911055037899427,0.0
61,3.075,0.8701179095943079,0.1314333534480024,0.0973580395911128,0.0,0.0,0.2979904919484908,0.9328398008822314,0.6348493089337414,0.7644103923896065,0.8680592591542985,0.0510392146947349,13.37227425002055,2.2457254465683376,2.5519607347367472,13.014999747157406,0.0,0.3572745028631445,0.6124705763368192,0.0
62,3.125,0.8952064380635854,0.1508281150596955,0.1249045327838103,0.0,0.0,0.577062567137047,1.154125134274094,0.9283180427856842,0.8154144970414794,0.8028696586254566,0.0,11.761736381568012,2.2238577192040325,2.9651436256053767,12.305346046262333,0.0494190604267563,0.3953524834140504,1.136638389815395,0.0
63,3.1750000000000003,0.8892726412723142,0.1575303703223622,0.1369829307150976,0.0,0.0,0.5711836972535689,0.9843804144157252,0.960074725170892,0.7413235219673976,0.8142405897018957,0.0,11.489962188466366,3.111864759376308,3.542738341443798,11.92083577053386,0.0,0.6702477943272053,0.8617471641349782,0.0
64,3.225,0.83553992719485,0.2035782271494929,0.1814501589810698,0.0,0.0,0.6831785723137169,0.8598626858431265,0.8480837449411659,0.7891890404313627,1.071883622078418,0.1392056652049893,10.25481733676754,3.85135673733804,3.340935964919746,11.646873988817427,0.1392056652049893,0.7424302144266097,0.835233991229936,0.0
65,3.2750000000000004,0.7822474437405764,0.2038469410842865,0.2038469410842864,0.0,0.0,0.959450606586833,0.982294668648424,1.107937009987176,0.8223862342172853,1.142203103079563,0.0449958798182858,10.034081199477736,3.4196868661897217,4.004633303827439,9.85409768020459,0.0449958798182858,1.169892875275432,1.0349052358205746,0.0303033476327231
66,3.325,0.7460415627401371,0.2643771251140526,0.2560502865277833,0.0,0.0,1.4959485783255466,1.1856777620802483,0.986217951636842,1.052704555117978,1.0637856556981664,0.1309584614022365,9.385356400493617,3.841448201132272,3.012044612251442,10.083801527972213,0.0873056409348243,1.396890254957189,1.1786261526201285,0.0293988382739714
67,3.375,0.7274167679809451,0.3252984668112109,0.2525609214372757,0.0,0.0,1.968203375208052,1.3013803737714438,1.322890793172625,1.054010550657864,1.1292970185619968,0.0,9.914347851271543,3.474258648736186,3.347151625001935,9.70250281171446,0.0423690079114168,1.4829152768995912,1.059225197785422,0.0
68,3.4250000000000003,0.7382708738621493,0.3570706558459632,0.3786518493311585,0.0049913722900251,0.0,2.2557931137196907,1.1592270167726186,1.1801139900478008,1.190557476685392,1.054792150396707,0.1234230238988045,8.680752680882579,3.867254748829208,3.908395756795475,8.968739736646455,0.0411410079662681,0.9873841911904369,0.9462431832241686,0.0277072094466704
69,3.475,0.771814195602365,0.4764688751813016,0.4383513651667975,0.0,0.0,2.942085349888725,1.3695914559826818,1.5116231625290342,1.2782853589171683,1.359446334086513,0.039965631712177,7.833263815586688,3.437044327247219,4.23635696149076,7.273744971616208,0.039965631712177,1.2389345830774876,1.0391064245166026,0.0672890738011143
70,3.5250000000000004,0.8107173456366453,0.5000919661908937,0.5445445854078623,0.0,0.0,4.002901369950535,1.508482535966582,1.4098889061648454,1.3901701802044977,1.4986231729864086,0.0388399147703814,6.719305255275984,3.3013927554824214,4.155870880430814,7.884502698387419,0.0,1.5147566760448758,1.3205571021929683,0.117708721293911
71,3.575,0.8413839655503769,0.691486475993182,0.5690357458693897,0.0,0.004581309755929,5.109076639812127,1.3515568596876348,1.6391221489828751,1.466582975405732,1.7349772454146233,0.0755221971886493,6.532670056818162,4.22924304256436,3.927154253809762,6.759236648384109,0.0377610985943246,1.4349217465843374,1.2838773522070386,0.3433177433422782
72,3.625,0.8711300202540585,0.770622006953132,0.7583621113879689,0.0,0.0,5.099631548250475,1.6408320886509749,1.5476029927048989,1.398436439191172,1.668800817434799,0.0367266135545156,6.206797690713143,4.517373467205424,4.407193626541877,6.353704144931205,0.1101798406635469,1.3956113150715952,1.028345179526438,0.2720767493936566
73,3.675,0.9057104101331466,0.9764384523858902,0.8878262368116033,0.0043353827189908,0.0043353827189908,5.814481906319155,2.004680969261364,1.786978058572346,1.750694240124177,1.8776876046927709,0.0357340636231972,5.645982052465163,4.216619507537272,4.573960143769243,5.00276890724761,0.0,1.893905372029451,1.107755972319113,0.5535133528572791
74,3.725,0.9189337164067286,1.200856544462824,1.0349923808629855,0.0042197794562899,0.0,6.215670219431201,2.295560024221752,2.313218178254228,2.0660040217995768,2.1984401770431403,0.1391248499528334,4.90415096083738,4.6606824734199215,4.48677641097888,5.043275810790215,0.0347812124882083,1.8086230493868336,1.321686074551917,0.8315549067333887
75,3.775,0.90615841162946,1.4115062630256607,1.4002012929556604,0.0,0.0,7.161089810187108,2.3984922653567864,2.312524800648658,2.063219152995084,2.53604020888979,0.0338659709456264,3.725256804018908,4.233246368203304,4.808967874278953,4.639638019550821,0.0,1.693298547281321,1.6594325763356952,0.9693270255355309
76,3.825,0.8961694449501253,1.6988941864492604,1.683163684722878,0.0080040494078355,0.0080040494078355,7.326783688711017,2.729750265736906,2.662762529154405,2.411558516970028,2.8302318706106564,0.0659727708767052,3.232665772958562,5.013930586629605,5.574699139081599,3.4965568564653817,0.0989591563150579,1.451400959287516,1.2204962612190475,1.3773498899361123
77,3.875,0.901177109135855,2.135075883247988,2.096757938466079,0.0077988287614944,0.0038994143807472,7.816106166750707,2.79030094888178,2.773983399473112,2.594490355977793,2.765824624768779,0.1928437657387726,2.5069689546040417,5.04607853683121,5.303203557816241,3.792594059529191,0.0642812552462575,1.7034532640258235,1.6070313811564374,1.8723555418412463
78,3.925,0.9226495310223668,2.590451918735842,2.3738339670537787,0.0038007003692694,0.0076014007385389,9.168926515452387,3.2445117244619026,3.0854670320863216,3.117275970561437,3.2683684283182424,0.0939809545855721,2.286869894915591,5.012317577897184,4.511085820107465,2.53748577381045,0.1566349243092868,1.6916571825402993,1.7229841674021575,1.983189939622073
79,3.975,0.9417006022716472,3.003449309563867,2.856335643091532,0.0222341272274725,0.0148227514849817,9.521223384630096,3.403759825612874,3.6363630027618186,3.163403209225633,3.582088928093731,0.0610877030896215,2.1380696081367563,5.222998614162648,4.764840840990487,2.535139678219298,0.0916315546344323,1.5882802803301617,1.5577364287853503,3.1678337459332337
80,4.025,0.9565900083564142,3.214836108056336,3.180741513892237,0.0036141941117578,0.0108425823352735,9.724739898000031,3.95492921201712,3.720507021629874,3.697821003205301,3.8566231321773055,0.1191588846543196,1.6980141063240557,4.915303991990684,5.36214980944438,2.025701039123436,0.0893691634907397,2.4725468565771345,2.1448599237777546,4.223148940057309
81,4.075,0.9578080210763392,3.0144648512668466,2.9091318265789,0.0070520949191232,0.0070520949191232,10.188432764077325,3.851094788449213,3.961758431795456,4.072422075141697,3.8289620597799647,0.2615686115456624,1.6856643855164894,4.882614082185691,4.91167726124632,1.5112853111527147,0.1743790743637749,2.034422534244039,1.8019171017590057,5.020515901197864
82,4.125,0.9593908610884192,2.3588748244517164,2.638855953271388,0.0103232598648343,0.0172054331080573,10.626922524243062,4.125492280752898,4.103892844728014,4.190290588827551,4.384685513051508,0.0567257915805041,1.4181447895126038,5.020232554874617,4.991869659084365,1.645047955834621,0.1134515831610083,2.127217184268908,2.58102351691294,5.711361076784022
