,r ($\AA$),g_full(r),O (DOL),O (DOL),O (MeTHF),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
32,1.625,0.1833240269074852,0.0,0.0,0.074847062444382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,1.675,0.4324149608241716,0.1857510711197418,0.1857510711197418,1.373689232931931,0.0,0.0429898800049703,0.0429898800049703,0.0429898800049703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,1.725,0.8427407459743504,2.360578519019796,2.253971747193096,10.17352390901058,0.0,0.2837380234772181,0.1621360134155532,0.4458740368927714,0.2026700167694415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1.775,0.994585387500076,7.573006000857378,7.75999380334768,28.63723634344661,0.0,2.0672663323839457,2.373528011255641,2.56494156055045,2.411810721114603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,1.825,0.7343659909432801,14.157433785051996,14.021370029309066,46.77145867947046,0.0,8.148125680451688,8.220553464277923,9.12590076210589,7.822200653233624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,1.875,0.3602653310411938,16.055018461435182,15.31381929521076,46.89648637653726,0.0,15.164290419937648,15.713224009799642,16.67385779205814,15.678915660433267,0.1351541035645067,0.0,0.0,0.0,0.0,0.1351541035645067,0.0,0.0,0.0
38,1.925,0.3136158349747786,13.336293455672442,13.507506760009356,36.23370922166035,0.0,17.967237045009615,19.65980285359748,21.873158141750853,18.71587192188503,2.0515949195004404,0.0,0.0,0.0,0.0,1.923370237031663,0.0,0.0,0.0
39,1.975,0.624034547643017,9.858022574263302,10.328558713635914,23.22414859492908,0.0,19.8520671815988,19.882989404623103,21.0580338795464,18.027656023165267,16.323185608583536,0.0,0.0,0.0,0.1218148179745041,17.05407451643056,0.0,0.0,0.0
40,2.025,1.0973835878456673,6.945899892832265,6.9569514439744,13.985923710728011,0.0,15.618902193384756,14.207024029010984,16.70722494508952,13.912882744766454,50.17337239431767,0.2317476784956934,0.0,0.0,0.1158738392478467,50.52099391206119,0.0,0.0,0.0
41,2.075,1.5515969348387018,4.1522658236389365,4.589069452741637,7.842077911373551,0.0,11.009394602062484,11.289531869290531,12.354053484757138,11.261518142567738,82.98854316428637,0.5517855263582869,0.0,0.0,0.3310713158149722,90.8238976385741,0.0,0.0,0.0
42,2.125,1.8494732392419704,2.5089815081403217,2.609340768465935,4.304062899762734,0.0,7.585924889720016,7.639346895985649,9.10845206829058,7.425658870923113,93.7556209961876,1.1574768024220687,0.1052251638565517,0.2104503277131034,0.9470264747089656,101.22660763000272,0.0,0.0,0.0
43,2.1750000000000003,1.8818057658630143,1.666890060182886,1.7531085115716565,2.66005255764624,0.0254970804961661,6.144796399576044,5.558363548164222,5.379883984691057,4.258012442859749,83.16684074567645,2.310190020713234,0.5022152218941816,0.3013291331365089,2.41063306509207,88.49032209775478,0.0,0.0,0.0
44,2.225,1.63283735411218,1.0710331477769084,1.0252625004360147,1.5637022417176667,0.0,3.3866054049429724,3.873886758172179,3.6546101492190353,3.459697607927353,64.88225048754917,3.647227098412528,0.6718576233917818,1.1517559258144834,4.03114574035069,66.89782335772453,0.0,0.0,0.0
45,2.275,1.244232574032225,0.6654702819117965,0.7048731275513107,0.8083285915460034,0.0,3.0762508821331584,2.1207487141978576,2.726676918254388,2.447017747151373,43.05762540947169,4.865787093181237,1.1016876437391476,0.8262657328043606,5.783860129630526,46.82172485891376,0.0,0.0,0.0
46,2.325,0.963133974054646,0.4107984392403315,0.4820593929861032,0.4387673948874613,0.0,1.9189510766146471,1.8296975381674536,1.7850707689438583,1.8520109227792527,30.50172060115813,6.504689695924211,1.0548145452850073,1.3185181816062592,7.559504241209218,26.01875878369685,0.0,0.0,0.0
47,2.375,0.8261638531478948,0.3173578054709356,0.273168743949666,0.2686451883775877,0.0213837976032996,1.2402602609913775,1.2402602609913778,1.325795451404576,1.2402602609913775,17.016318941292383,8.086963457247867,1.432066445554308,1.8532624589526328,7.665767443849539,15.415774090378743,0.0842392026796651,0.0842392026796651,0.0
48,2.4250000000000003,0.7415963181219091,0.2042219220655966,0.2234881411283887,0.2352745339668026,0.0,1.0255556608809349,1.1486223401866469,0.94351120801046,1.0255556608809349,10.180970742563474,10.180970742563474,1.6968284570939105,1.93923252239304,11.069785648660284,10.180970742563476,0.08080135509971,0.0,0.0
