,r ($\AA$),g_full(r),O (DOL),O (DOL),O (OFE),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
46,2.325,1.2443912656076077,0.6151794598342529,0.6108775055696772,0.0,0.0,3.663941355182813,4.099034391110772,4.6257259609183015,3.9845362237613102,28.235941996664486,5.683272670255152,0.8118960957507365,1.3531601595845608,8.4798036667299,31.66394773427872,0.0,0.0,0.0
47,2.375,1.069436198085175,0.4246414630481348,0.5359552446238591,0.0,0.0,3.2479522090767583,3.3796259472825727,3.2040609630081534,3.555190931556992,17.376943329888572,8.299435620245285,1.1238819069082149,1.3832392700408798,12.535605884745484,18.50082523679679,0.0864524543775549,0.0,0.0
48,2.4250000000000003,0.8308123093367956,0.3717212792325539,0.3203130172110305,0.0,0.0421000204957327,2.1050010247866378,2.652301291231163,2.9259514244534253,2.2944511170174358,9.785065369765777,10.36553534932815,1.4097128075086274,2.156031352660255,12.024021005220655,10.282611066533525,0.2487728483838754,0.0829242827946251,0.0
49,2.475,0.7362411799706422,0.2315757606002254,0.3075022394855453,0.0,0.0,2.101644935545653,2.061228686785159,1.8995636917431855,2.041020562404911,6.766659830355315,12.100379931929504,0.9552931525207504,2.46784064401194,12.65763427089993,6.607444304935191,0.0796077627100625,0.0,0.0
50,2.5250000000000004,0.8064658989439478,0.200610737457386,0.2115531413186979,0.0,0.0194157524923791,1.6891704668369878,1.650338961852229,1.495012941913196,1.883327991760779,3.059451907890053,13.308615799321728,1.5297259539450263,2.6005341217065445,16.06212251642277,2.829993014798298,0.0,0.1529725953945026,0.0
51,2.575,0.9498735952287324,0.1823743144832929,0.2139390996823244,0.0,0.1120145197832296,1.4935269304430636,1.7175559700095229,1.381512410659833,1.53086510370414,1.9121670548854368,11.767181876218064,1.323807961074533,3.2359750159599674,13.385169384198049,1.7650772814327105,0.2206346601790887,0.2206346601790887,0.0
52,2.625,1.0484938730785416,0.18561769890996,0.1788679644041433,0.0,0.0179646779924045,1.2215981034835073,1.5449623073467884,1.3832802054151478,1.4192095613999571,0.7076994360644211,12.030890413095165,1.3446289285224002,2.901567687864125,12.80935979276602,0.7784693796708633,0.2830797744257684,0.3538497180322105,0.0
53,2.6750000000000003,1.022850835581759,0.1397451292086722,0.1527446761118044,0.0,0.0,1.124460807120944,1.3493529685451326,1.5396463359040615,0.951466836794645,1.226684516859211,14.447617643008488,2.112623334590864,1.771877635463305,13.289082265974796,1.090386237208188,0.5451931186040941,0.1362982796510235,0.0
54,2.725,0.9563698978603236,0.1096102801032964,0.1471909475672838,0.0,0.0666815945771263,1.0669055132340215,1.4169838847639349,1.1002463105225844,1.283620695609682,0.7223839412522015,11.820828129581471,0.9850690107984568,1.576110417277531,14.513350092430588,0.5253701390925102,0.5253701390925102,0.3283563369328188,0.0
55,2.7750000000000004,0.9242377967291484,0.14193469686961,0.1630739070416796,0.0,0.0803754584564403,0.9645055014772844,1.2056318768466054,0.9002051347121321,1.060956051625013,0.1899783563515862,13.48846330096262,1.3298484944611035,2.40639251378676,12.411919281636973,0.1266522375677242,0.633261187838621,0.3166305939193105,0.0
56,2.825,0.9169109871097122,0.1194714284103863,0.1194714284103863,0.0,0.0465333368442705,1.1478223088253414,0.930666736885412,1.0392445228553766,1.0547556351368002,0.2444175268587948,14.176216557810111,1.4665051611527689,2.0164445965850573,13.626277122377822,0.1833131451440961,0.7332525805763848,0.2444175268587948,0.0
57,2.875,0.9063964355156168,0.0984713384414229,0.0984713384414229,0.0,0.1497630026405818,1.0034121176918989,0.9734595171637824,1.1082462195403056,0.9435069166356655,0.2359901859790986,13.628433240292942,1.297946022885042,2.772884685254408,13.274447961324295,0.2359901859790986,0.7079705579372958,0.1769926394843239,0.0
58,2.9250000000000003,0.8942963495001447,0.1250327998887472,0.1005698607800792,0.0,0.1591554636710941,0.9694014605421192,1.0128074960887812,0.723433925777701,1.3021810663998616,0.0,12.881508326878086,1.595939084745958,1.8809282070220228,11.684554013318628,0.1709934733656383,0.6269760690073406,0.5699782445521279,0.0
59,2.975,0.8950170941390342,0.1077278853108247,0.1129829041064748,0.0,0.1538507810480297,0.8531725130845285,1.0070232941325588,0.9790504248510984,0.9091182516474484,0.0550980758574211,14.160205495357229,2.093726882582004,2.0386288067245824,13.278636281638482,0.0550980758574211,0.826471137861317,0.6611769102890535,0.0
60,3.0250000000000004,0.8996146196880584,0.1143616227250221,0.1575649024211416,0.0,0.2570301906989043,1.2580951439472683,0.9604812389274844,0.8657859055120987,0.960481238927485,0.2664587303896137,13.322936519480676,1.8119193666493736,2.1316698431169105,12.203809851844303,0.1598752382337682,0.7993761911688414,0.6927926990129959,0.0
61,3.075,0.915081923386336,0.1549420085309645,0.1303480389228749,0.0,0.301105861755657,0.8378597892331331,0.96877538130081,0.903317585266972,0.9687753813008104,0.0515728089963576,12.119610114144027,2.3723492138324502,2.527067640821523,11.75860045116953,0.0515728089963576,0.9798833709307946,0.7220193259490065,0.0173663540497938
62,3.125,0.9370334064689748,0.123829031516645,0.15240496186664,0.0,0.3802796885037794,0.9380232316426568,0.9633752108762426,0.7605593770075594,1.2168950032120955,0.0499357166722134,11.635021984625734,2.8463358503161675,1.9974286668885397,11.535150551281312,0.1498071500166404,0.6491643167387753,0.3994857333777078,0.0168150882671739
63,3.1750000000000003,0.92280946435276,0.152256534904832,0.1845533756422206,0.0,0.528035600539415,1.1174706895136466,0.908712428835273,1.2893892571311307,1.1297505872006088,0.1451260635732007,12.432466112770856,2.467143080744413,2.563893789793215,12.335715403722055,0.0,1.5963866993052092,0.9675070904880052,0.0325793203939838
64,3.225,0.863242599369763,0.1922909101057396,0.1744033835842755,0.0,0.7498313521439914,0.89265637159999,0.9759709662826556,0.9045584565546564,1.071187645919988,0.0468870013365651,10.924671311419685,2.953881084203603,2.625672074847647,10.362027295380896,0.0468870013365651,0.7970790227216078,1.125288032077564,0.0
65,3.2750000000000004,0.7942374888510237,0.1908007461470232,0.2276599811981527,0.0,1.2464759234304146,0.9810227175146786,1.1079785986048136,0.8886911676309439,0.9233154988373444,0.0,10.457247505771434,3.27357313224149,3.0462416647247195,9.820719396724478,0.045466293503354,0.8638595765637269,1.045724750577143,0.0153100784245988
66,3.325,0.7361818122896975,0.2587271884871346,0.2545202423328723,0.0,1.5675728593266791,1.3436338794228675,1.1532857465046285,1.0413162565527223,1.1644826954998186,0.0441091930113567,10.409769550680206,3.969827371022106,3.484626247897182,11.468390182952769,0.0882183860227134,0.8821838602271347,0.7498562811930645,0.0742654780293251
67,3.375,0.7165620315470447,0.2633677864909362,0.3042000014507713,0.0,1.9779124926544127,0.9998238973857464,1.2715151738492645,0.9454856420930426,0.9563532931515838,0.0428119587154634,9.118947206393718,3.938700201822637,2.9968371100824416,8.348331949515375,0.0428119587154634,0.8134272155938053,1.0702989678865855,0.1153301744987994
68,3.4250000000000003,0.7387930138906309,0.3290846795605373,0.3786456252774857,0.0,2.828115307348424,1.3401889702733207,1.2874256249869696,1.192451603471537,1.129135589127916,0.0415711205286403,7.773799538855738,3.6582586065203504,3.990827570749474,8.979362034186304,0.0831422410572806,1.039278013216007,0.8729935311014465,0.1399843854535847
69,3.475,0.7851863040563376,0.4236761444445409,0.4448599516667679,0.0,3.485402911360541,1.2198910189761896,1.3941611645442165,1.4556682747446965,1.3941611645442165,0.1211503685767034,8.238225063215836,4.361413268761327,4.522947093530266,8.399758887984776,0.0,1.4134209667282065,1.2115036857670338,0.285568725930801
