,r ($\AA$),g_full(r),O (DOL),O (DOL),N (Me-Im - i),N (Me-Im),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
54,2.725,0.7679829958183537,0.0532358785768247,0.0532358785768247,0.0,0.0785408484788816,0.0,0.0833466696270649,0.1000160035524779,0.1166853374778909,0.1333546714033039,0.8536719495135753,3.152019505896276,0.9850060955925868,0.591003657355552,3.4803548710938026,1.1163402416715984,0.1313341460790115,0.0656670730395057,0.0
55,2.7750000000000004,0.8024790285120821,0.0452954143616445,0.0513348029431972,0.0034425509871782,0.0550808157948521,0.0,0.0482221949819354,0.1285925199518278,0.0642962599759139,0.2571850399036557,0.5065765937496252,3.102781636716452,1.2031194101553593,1.3297635585927656,3.3560699335912645,0.8231869648431408,0.1266441484374063,0.1899662226561094,0.0
56,2.825,0.8256837880544572,0.0553612722021732,0.0524475210336378,0.0033217723371112,0.0199306340226674,0.0,0.0310202432096387,0.0930607296289162,0.1395910944433744,0.0620404864192775,0.5499043114435963,4.765837365844504,0.8554067066900387,0.7943062276407502,3.2994258686615794,0.5499043114435963,0.1222009580985769,0.3666028742957308,0.0
57,2.875,0.827784102702854,0.0309461583175423,0.0365727325570954,0.0032072400113433,0.0256579200907464,0.0149753437452722,0.0748767187263611,0.13477809370745,0.0599013749810889,0.0299506874905444,0.2949688919523318,3.244657811475649,0.7669191190760628,1.4158506813711933,2.8906951411328525,0.4129564487332645,0.3539626703427982,0.1769813351713991,0.0397305038139875
58,2.9250000000000003,0.8224405694338432,0.0298972381758743,0.0489227533787035,0.0061970612004508,0.0216897142015778,0.0,0.0723387720898778,0.0723387720898778,0.0434032632539267,0.0723387720898778,0.0569941840708128,3.818610332744466,0.9689011292038188,1.253872049557883,3.818610332744466,0.3989592884956902,0.2279767362832515,0.1139883681416257,0.0
59,2.975,0.8377552987744972,0.0262734158187212,0.0472921484736982,0.0029952559714258,0.023962047771407,0.0,0.0279710826870078,0.1118843307480314,0.0419566240305117,0.1678264961220471,0.220378227230971,3.4709570788877926,0.9366074657316272,0.9366074657316272,3.250578851656822,0.2754727840387138,0.2754727840387138,0.1652836704232283,0.0
60,3.0250000000000004,0.8650005753192411,0.0432005203531632,0.030494484955174,0.0115882392031743,0.0144852990039679,0.0270540815243338,0.0811622445730016,0.0541081630486677,0.1082163260973355,0.0811622445730016,0.213153369585661,3.037435516595668,0.7460367935498133,0.7993251359462286,3.3571655709741592,0.1065766847928305,0.213153369585661,0.1598650271892457,0.0
61,3.075,0.9243339730142218,0.0516440375220182,0.0393478381120138,0.0168216869688098,0.0084108434844049,0.0392721691925677,0.1178165075777031,0.0654536153209461,0.0785443383851354,0.0785443383851354,0.3094170906081093,4.228700238310827,1.2376683624324372,0.7219732114189217,3.300448966486499,0.0515695151013515,0.4125561208108123,0.3094170906081093,0.0
62,3.125,1.0326138575620454,0.0642917367871596,0.0666729122237211,0.0380046583680519,0.0108584738194434,0.0380255400484739,0.0760510800969478,0.1140766201454217,0.1014014401292637,0.1267518001615796,0.0,4.094467241583149,0.5991903280365586,0.7489879100456982,4.643725042283327,0.1997301093455195,0.0998650546727597,0.2995951640182793,0.0168140143071483
63,3.1750000000000003,1.1273795224360332,0.0668963258072953,0.0599760162410233,0.0631150473787173,0.0157787618446793,0.0491164535370274,0.1105120204583117,0.1596284739953392,0.085953793689798,0.1596284739953391,0.1934890593882899,3.966525717459948,0.9190730320943772,0.4837226484707249,3.337686274448005,0.1451167945412174,0.4837226484707249,0.2418613242353624,0.0162886197954427
64,3.225,1.082183798597393,0.058130748214699,0.0469517581734108,0.0713687351037897,0.0076466501896917,0.1071119230417592,0.1785198717362654,0.0476052991296707,0.1071119230417592,0.15471722217143,0.0468840067186151,4.172676597956749,0.7032601007792272,0.3750720537489211,4.266444611393979,0.0,0.328188047030306,0.2813040403116909,0.0
65,3.2750000000000004,0.9726664350649968,0.0715457099724269,0.0780498654244657,0.1285258263515457,0.0123582525338024,0.0923256527756073,0.12694777256646,0.12694777256646,0.1038663593725582,0.12694777256646,0.1818535584974084,3.9098515076942855,0.3637071169948168,0.3637071169948168,3.4552176114507627,0.1363901688730563,0.4546338962435209,0.7274142339896335,0.015309100587792
66,3.325,0.8932164702610649,0.1198903076536248,0.1009602590767366,0.1918300364665067,0.014387252734988,0.1119623385915092,0.0783736370140564,0.1679435078872638,0.1567472740281129,0.1119623385915092,0.0882127516175527,3.837254695363541,0.7939147645579745,0.7498083887491982,3.660829192128435,0.0441063758087763,0.6615956371316454,0.3087446306614344,0.029704293912033
67,3.375,0.8356062603442584,0.1000325372823269,0.1286132622201346,0.2327354866670151,0.0093094194666806,0.1738713112700039,0.1412704404068782,0.2173391390875049,0.1738713112700039,0.1630043543156287,0.0,4.323731660937788,0.9418029360458544,0.8561844873144131,3.767211744183416,0.0,0.3424737949257653,0.2996645705600447,0.0288307021238526
68,3.4250000000000003,0.8079618124170944,0.1407440961011247,0.134797162463049,0.3322053143325708,0.0135594005850029,0.0844159605650949,0.1899359112714637,0.2110399014127374,0.1899359112714637,0.2110399014127374,0.0415684654297816,3.533319561531441,0.9145062394551958,0.7898008431658508,3.865867284969693,0.1662738617191264,0.3741161888680345,0.207842327148908,0.0559901779258283
69,3.475,0.8119845251453821,0.1598312456081911,0.1675339562399111,0.4763879074553586,0.0219533597905695,0.1435074242309691,0.2870148484619383,0.2152611363464537,0.1640084848353933,0.3177664393685745,0.0,4.522658218188121,0.6057131542216229,0.969141046754597,3.472755417537305,0.0403808769481082,0.2422852616886492,0.1211426308443246,0.0271952844752565
70,3.5250000000000004,0.8396535637736565,0.1628150063625884,0.2114723645858907,0.5717779132341106,0.00640049902874,0.1195416280136987,0.2291214536929227,0.2988540700342471,0.2590068606963475,0.2689686630308224,0.0392434637418708,4.12056369289644,0.7456258110955454,0.8633562023211578,3.963589837928956,0.0,0.3531911736768374,0.2747042461930958,0.0132146357498136
71,3.575,0.9077769808930416,0.2274319858924807,0.2601821918609979,0.8525125004501124,0.0207423966046256,0.2324424874893738,0.2518126947801551,0.2808680057163268,0.2808680057163268,0.2905531093617174,0.0,4.1205713691298085,0.9919894036793988,0.4196878246335916,4.044264491923702,0.1144603158091613,0.2289206316183227,0.3433809474274841,0.051390345873501
72,3.625,0.9713482917301224,0.291985805395113,0.2707504740936503,1.121682617916034,0.0141219034629716,0.3014328053458919,0.3673712315153058,0.3485316811811875,0.2731734798447144,0.2825932550117737,0.0,4.749850266056481,1.1503543613105525,1.1132461561069862,3.933469751578024,0.0371082052035662,0.3710820520356622,0.2597574364249636,0.0874693408369775
73,3.675,0.9812224652709576,0.3598533931438478,0.3409137408731189,1.413283263047468,0.0117773605253955,0.3299472848730049,0.4307645108064227,0.3116168801578379,0.2382952612971701,0.293286475442671,0.1444213704831334,4.657589198081059,0.8665282228988004,0.830422880278017,4.116009058769308,0.0361053426207833,0.4693694540701835,0.2527373983454835,0.0486316859790143
74,3.725,0.9735429725569292,0.3904788794227305,0.4977348806375575,1.8283989721095544,0.0229266328791166,0.3122284073825855,0.43711977033562,0.4281989586961174,0.2408619142665659,0.3657532772196004,0.1054277739213925,3.725114678555866,1.0191351479067952,1.0542777392139262,4.4631090960056135,0.0351425913071308,0.3865685043784394,0.5974240522212245,0.1183372972587059
75,3.775,0.9699123536917356,0.4993233408552439,0.5482766095665424,2.4090599792939598,0.0130219458340214,0.4082451568118643,0.3300705523159755,0.4343033583104939,0.434303358310494,0.3040123508173457,0.1368713614069436,4.277230043966985,1.7108920175867952,1.3687136140694365,4.037705161504835,0.0,0.5132676052760384,0.3079605631656232,0.2189243459238613
76,3.825,0.9682768144271366,0.6452940676694159,0.6389364906480419,3.131070024839364,0.0344272745786735,0.4653257335259179,0.4907071371727861,0.4314838619967601,0.3807210547030235,0.4314838619967602,0.0999873476997839,3.5328862853923635,1.399822867796975,1.3331646359971194,3.299582474092869,0.0,0.566594970298776,0.466607622598992,0.1795691142363467
77,3.875,0.972578059143436,0.6581731977330669,0.7603836237339668,4.155996036688975,0.0335445729384411,0.502856235705126,0.4616385114670012,0.4698820563146261,0.4204207872288759,0.4698820563146261,0.0324745706118561,3.5722027673041734,1.6237285305928062,1.3964065363098133,3.6371519085278847,0.0324745706118561,0.4221694179541297,0.6170168416252665,0.2187062918757659
