,r ($\AA$),g_full(r),O (DOL),O (DOL),O (DMI),N (DMI),N (DMI),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
68,3.4250000000000003,0.7885700660951734,0.2408165253459145,0.2151557480549565,0.0092086039163403,0.6200459970335855,0.7029234322806487,0.2731885828514309,0.3887683679039592,0.4202901274637398,0.4623191402101136,0.3992756210905528,0.0827844190458881,6.333008057010447,2.276571523761924,1.5315117523489312,4.967065142753287,0.041392209522944,0.7036675618900496,0.952020819027714,0.0975673510183682
69,3.475,0.8296137152824874,0.2799568285939993,0.2818743411186157,0.0089455191036038,1.0018981396036313,0.9959344602012292,0.4797321334663446,0.3980756001103711,0.6124240001698018,0.500146266805338,0.4082826667798678,0.0,6.031448486520773,2.211531111724286,1.3269186670345716,5.468513294445499,0.0402096565768052,1.1258703841505455,0.965031757843325,0.0947799047881836
70,3.5250000000000004,0.8781751268052506,0.3372938094663821,0.3186587923687919,0.0086935495493476,1.4981883723375853,1.4894948227882383,0.4761390214719659,0.5654150879979595,0.5356563991559616,0.6348520286292878,0.4860585844192985,0.0390770661561588,5.1581727326129645,2.540009300150322,1.914776241651781,5.0800186003006464,0.0390770661561588,0.8206183892793346,1.0160037200601284,0.1184274351875424
71,3.575,0.8946683196185281,0.365971711992683,0.3949595703683412,0.0140867963454742,2.234165900392221,2.3524949896942062,0.5979303248794395,0.5689982123852731,0.5689982123852731,0.4725578374047183,0.462913799906663,0.0379916628711275,4.521007881664181,2.0895414579120186,1.7856081549429978,4.103099590081778,0.0379916628711275,0.7218415945514246,0.987783234649318,0.2046897754689323
72,3.625,0.8995538491211992,0.4546237485260901,0.4299542427921163,0.0274017623882984,3.0141938627128315,3.181344613281451,0.4877513705117117,0.5440303748015246,0.5440303748015245,0.7034875536226614,0.5721698769464311,0.0739017228048048,5.247022319141151,2.660462020972977,1.8105922087177209,3.8798404472522594,0.0369508614024024,0.8498698122552562,0.8868206736576588,0.1990821920455968
73,3.675,0.9356762411308857,0.5314906483746025,0.5349196202996,0.013330609955608,4.095163378362783,3.9725217667711896,0.7939916375867139,0.5658331210388078,0.6023384836864728,0.6662228683198864,0.5110750770673103,0.0359522510923973,4.134508875625697,3.0918935939461734,2.085230563359048,4.170461126718095,0.0359522510923973,0.9707107794947284,1.042615281679523,0.2058082945187237
74,3.725,0.9718284954280292,0.5557001045026833,0.5740565644111802,0.0363304154430069,5.244554972165509,5.371711426216035,0.7195218816720808,0.7639368126394932,0.6040430611568084,0.559628130189396,0.4441493096741238,0.1749679098716245,4.794120730482509,2.13460850043382,1.959640590562196,3.7793068532270886,0.1049807459229747,0.9798202952810978,0.839845967383798,0.3535065934140985
75,3.775,0.9711762107589168,0.7035629401494554,0.7051877968241651,0.0404278946121118,6.15514695469403,6.4482491906318415,0.9860130258040544,0.735185150818813,0.7265359137503562,0.6659912542711602,0.7611328620241826,0.0340727520878594,3.4072752087859444,2.0784378773594234,1.942146869007986,3.986511994279554,0.0681455041757188,0.7836732980207665,0.8858915542843446,0.4245186765232281
76,3.825,0.959863548683168,0.8609643249332964,0.8641296349514337,0.0541445839506961,7.690992038451151,7.375969004556197,1.1120464549873734,0.5223248500698273,0.6402691710533366,0.7497888976808808,0.7497888976808808,0.0995633878432221,3.418342982617298,2.2567701244463705,2.3563335122895923,3.119652819087631,0.0663755918954814,0.7965071027457772,1.1615728581709248,0.4581947746662571
77,3.875,0.9699589754859924,1.0470698508281897,1.0301070108295003,0.0407662614391382,8.805512470853868,8.853472778429323,1.1492027545965229,0.7798161549047833,0.8290677015303486,0.7551903815920007,0.7798161549047833,0.1293474961883531,2.9426555382850337,2.748634294002504,2.198907435202004,3.072003034473388,0.1293474961883531,1.0994537176010029,1.4228224580718851,0.6206700008425821
