,r ($\AA$),g_full(r),O (DOL),O (DOL),O (DMA),N (DMA),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
60,3.0250000000000004,0.9160672369531908,0.0766839769044653,0.0766839769044653,0.0135284415596915,0.0101463311697686,0.0272129805219949,0.2177038441759592,0.1632778831319694,0.1088519220879796,0.1088519220879796,0.0,6.217753731389145,0.9112225296001322,0.9112225296001324,6.860969634636299,0.3216079516235761,0.3752092768941721,0.4824119274353642,0.0360988517128503
61,3.075,0.9464326442488612,0.0915263058204916,0.0593684145862649,0.0130920786786791,0.0163650983483489,0.0526704396073016,0.1843465386255558,0.1185084891164287,0.2765198079383338,0.2633521980365084,0.0518724026435546,7.210263967454106,1.244937663445312,1.2968100660888668,6.743412343662112,0.0,0.4149792211484374,0.6224688317226561,0.0349344752497409
62,3.125,0.9779019142943696,0.0862257957560817,0.1101774056883265,0.0,0.0253529851978791,0.089247383470611,0.1529955145210475,0.2039940193613967,0.2039940193613967,0.1529955145210475,0.050225800221556,6.730257229688509,0.7533870033233402,1.4063224062035686,7.433418432790295,0.100451600443112,0.452032201994004,0.50225800221556,0.0169127694623606
63,3.1750000000000003,0.9615233578391208,0.1322581487754879,0.1020940095810783,0.0092102887141629,0.0429813473327605,0.0864586332885914,0.2099709665580078,0.2840783665196577,0.271727133192716,0.2593758998657743,0.0,6.22801583516088,1.508347585078024,1.0704402216682751,7.2497996831169615,0.0486563737121943,0.145969121136583,0.3892509896975548,0.0
64,3.225,0.9135086259834058,0.1326868527438722,0.1034507665460699,0.0089269179212586,0.0892691792125867,0.0718273549664352,0.1915396132438272,0.2753381940380016,0.239424516554784,0.2154820648993056,0.0,6.366515553843125,1.3204624852415368,1.226143736295712,6.03639993253274,0.047159374472912,0.6602312426207684,0.4715937447291202,0.0158801975265928
65,3.2750000000000004,0.8664358714641763,0.1330279226521224,0.141751065121114,0.0086564262742001,0.164472099209802,0.2669952606470593,0.2669952606470593,0.3134292190204609,0.2553867710537089,0.2205613022736576,0.0457304135495621,5.990684174992647,1.646294887784239,1.6005644742346767,6.493718724037831,0.0,0.3201128948469353,0.6402257896938707,0.0153990168075056
66,3.325,0.8531784407218677,0.1269415467532878,0.131172931645064,0.0,0.2715367872615579,0.1464059172554586,0.2252398727007054,0.1914538917955996,0.371645789956164,0.2928118345109171,0.0887308589427021,5.63440954286159,1.4640591725545864,1.7746171788540444,5.767505831275643,0.0,0.532385153656213,0.3992888652421598,0.0298787586235629
67,3.375,0.8477346775451685,0.2197213702331528,0.1827588967359869,0.0190191440004537,0.4483083942964101,0.1858233069319058,0.3060619172996096,0.2732695690175085,0.2951311345389092,0.3388542655817105,0.0861213187206693,5.59788571684351,1.5932443963323837,1.5932443963323837,6.372977585329534,0.0,0.5597885716843511,0.3444852748826776,0.0580000717914712
68,3.4250000000000003,0.8277222145379863,0.2013893627647497,0.2412684445003437,0.0184679036259289,0.754545776716527,0.2759632456103102,0.3502610425053939,0.3290331005353699,0.2228933906852506,0.2971911875803341,0.0,6.188266719746355,1.8815675837066617,1.9651928096491813,5.561077525177468,0.0,0.2508756778275549,0.5017513556551096,0.0985583020036822
69,3.475,0.8164110116909371,0.2382495118756836,0.2595563787913952,0.0205031835990577,1.1199864040985286,0.3918079527381475,0.3299435391479136,0.3196328035495412,0.3608757459430305,0.2990113323527966,0.0,5.605290807115124,1.5434858744230056,1.9902844170191385,5.158492264518995,0.0,0.5686526905768968,0.609270739903818,0.0683875320300203
70,3.5250000000000004,0.8366230565200713,0.301188563391835,0.2597751359254576,0.0174349593818122,1.7036446024513698,0.3006093546160813,0.3106296664366174,0.4408937201035858,0.5210562146678742,0.4208530964625138,0.0,6.355306860721801,1.7368540488929156,2.1315936054594875,5.052666324052119,0.0,0.4342135122232288,0.3157916452532572,0.1196302533676242
71,3.575,0.8801058654808699,0.3788394456332241,0.3312557471478914,0.0266367931218083,2.276235048590898,0.3117436151654442,0.4578734347742459,0.4968413866699266,0.467615422748166,0.5163253626177668,0.0383775283821096,5.219343859966907,2.1491415893981376,2.225896646162356,5.065833746438469,0.0383775283821096,0.4989078689674248,0.5372853973495343,0.0904613169006869
