,r ($\AA$),g_full(r),O (DOL),O (DOL),O (EPE),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
46,2.325,0.7804785044901991,0.599076368864755,0.7214229512385429,0.1601689199465601,0.0,2.986814338290173,3.4359593515668925,3.211386844928533,3.5931601062137446,32.1138684492853,9.908411201983355,1.4154873145690494,1.503955271729615,8.669859801735438,32.6446761922487,0.0,0.0884679571605656,0.0
47,2.375,0.715033469800244,0.4730413331744377,0.4689982448567073,0.076748100435318,0.0,2.690208765258965,2.690208765258964,2.6686870951368933,2.561078744526533,18.99124345317358,9.66518640027584,1.780429073735023,1.1021703789788238,9.83475107396489,20.85645486375312,0.0,0.1695646736890498,0.0
48,2.4250000000000003,0.752125148545271,0.3567840674068114,0.3878087689204471,0.0602312472029063,0.0,2.2294827810798883,2.4152730128365456,2.0849792674913767,1.63082536764177,11.954381578685917,12.68628249166669,2.1143804152777834,2.1957027389423143,9.758678839743611,11.629092284027806,0.0,0.1626446473290602,0.0
49,2.475,0.8482179808204127,0.2680549404483128,0.2419940434602824,0.0449729194905662,0.0,1.5854189640190826,1.585418964019082,1.6052367010693211,1.7241431233707525,7.494707829908393,11.710480984231868,1.7956070842488838,2.264026323618158,9.290314914157282,7.885057196049454,0.1561397464564247,0.0,0.0
50,2.5250000000000004,0.93968825434658,0.2110432916664802,0.2181973015534795,0.0123455731715798,0.0190406724684751,1.389969090198687,1.370928417730211,1.4470911076041122,1.4661317800725873,3.750435486214804,11.77636742671448,1.5751829042102163,1.8752177431074004,11.101289039195816,4.650540002906357,0.2250261291728881,0.075008709724296,0.0
51,2.575,0.9806473913254216,0.1444566950551803,0.165093365777349,0.0059354015543394,0.036616861896771,1.1168142878515162,1.190048011645058,1.336515459232142,1.0618889950063597,2.7407166328795243,12.54959721371151,2.59646838904376,1.58673068219341,12.477473091793632,3.89470258356564,0.0,0.288496487671529,0.0
52,2.625,0.9570067005280632,0.1489351695516045,0.1158384652068034,0.0114229024471831,0.0,1.1275283400173433,0.9689696672024044,0.8456462550130075,1.1275283400173433,1.5962640798541,13.117126569235856,2.0126807963377784,1.735069652015326,12.423098708429732,1.457458507692874,0.6246250747255172,0.2082083582418391,0.0
53,2.6750000000000003,0.8799441110282835,0.1306712772483234,0.0860518167245057,0.016499821882338,0.0169652014738911,1.204529304646272,1.068807692855143,1.0179120884334691,1.1197032972768164,1.3366522373368783,12.096702747898748,1.5371500729374106,1.6039826848042544,12.163535359765593,0.9356565661358152,0.2004978356005318,0.4009956712010637,0.0
54,2.725,0.804026133614477,0.1259201276771804,0.15970357656618,0.0105999304607516,0.0326967085750877,0.948204548677544,1.062643028690351,0.9809012572526316,0.8501144229522809,0.5152208623953218,11.721274619493585,1.7388704105842117,2.3184938807789486,12.30089808968832,0.4508182545959066,0.2576104311976609,0.1932078233982457,0.0
55,2.7750000000000004,0.7764925037824818,0.1184619189382791,0.1243850148851931,0.0051107012409781,0.0788227383704704,0.945872860445644,0.7724628360306096,0.7566982883565159,0.9616374081197387,0.4347193449522912,10.74377809667804,1.6767746162445512,2.6083160697137457,11.489011259453406,0.2484110542584521,0.4347193449522912,0.2484110542584521,0.0
