,r ($\AA$),g_full(r),O (DOL),O (DOL),N (PrN),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
55,2.7750000000000004,0.6943920902677883,0.049968799503608,0.0590540357769913,0.0669778071858796,0.0,0.1934456461901917,0.0483614115475479,0.0483614115475479,0.0241807057737739,0.1905146515509464,4.667608962998187,1.714631863958518,0.8573159319792589,5.620182220752916,0.5715439546528394,0.0952573257754732,0.0952573257754732,0.0
56,2.825,0.7083509450099424,0.0306827126874983,0.0569821807053541,0.0603194238061048,0.0,0.1399940912950476,0.0233323485491746,0.116661742745873,0.116661742745873,0.2757459373993363,5.239172810587392,1.0110684371309,0.827237812198009,5.974495310318956,0.3676612498657817,0.0919153124664454,0.0,0.0
57,2.875,0.7313783841709415,0.0592495895570465,0.0465532489376794,0.0499197028897843,0.0,0.0675835977584772,0.0675835977584772,0.2027507932754317,0.0901114636779696,0.3549845538829108,5.4135144467143865,0.887461384707277,0.7987152462365493,5.236022169772931,0.1774922769414554,0.0887461384707277,0.1774922769414554,0.0
58,2.9250000000000003,0.7744029164540042,0.0367979943323762,0.053152658480099,0.0602845929876997,0.0217642838273541,0.2611714059282499,0.0870571353094166,0.1741142706188333,0.0435285676547083,0.1714761756094571,5.487237619502628,0.8573808780472855,0.9431189658520142,7.11626128779247,0.4286904390236427,0.0,0.0,0.0
59,2.975,0.8465287487349413,0.0790478000210289,0.0395239000105145,0.0466202366033114,0.0420777520111939,0.2524665120671634,0.1051943800279847,0.1472721320391786,0.2945442640783573,0.0,5.552988182083319,0.9945650475373108,0.6630433650248737,5.884509864595755,0.0828804206281092,0.1657608412562184,0.0,0.055817426137298
60,3.0250000000000004,0.944172128143256,0.0649878591585326,0.0764563048923913,0.0375765362113173,0.0610474188294632,0.1627931168785686,0.1627931168785686,0.1831422564883897,0.1424439772687475,0.0,6.092409071061582,0.801632772508103,1.523102267765396,5.53126613030591,0.0801632772508103,0.1603265545016206,0.4008163862540515,0.0
61,3.075,1.0233001579685477,0.0406946044075827,0.0443941138991812,0.0290915973657513,0.0196927736014316,0.11815664160859,0.11815664160859,0.2166205096157484,0.0984638680071583,0.0,5.740741880174932,1.0860863016547169,1.706707045457412,7.137138553730999,0.1551551859506738,0.0775775929753369,0.0775775929753369,0.0522461340446146
62,3.125,1.0468051446765037,0.0967160187244236,0.1217905420974224,0.0316891500744797,0.0762706381279785,0.2478795739159303,0.1334736167239625,0.1716089357879518,0.1716089357879518,0.1502300447975335,7.736847307072975,1.2769553807790357,0.6009201791901342,7.511502239876672,0.0751150223987667,0.4506901343926006,0.3004600895950671,0.0252938340730541
63,3.1750000000000003,0.9955138206905672,0.0902237487997316,0.0763431720613113,0.0375209339960422,0.0554155332864624,0.2586058220034912,0.2031902887170288,0.2955495108611328,0.3140213552899535,0.0727678719923243,5.384822527432008,1.2370538238695146,0.945982335900217,5.89419763137828,0.0727678719923243,0.1455357439846487,0.3638393599616219,0.0735104012983685
64,3.225,0.8912063318539885,0.0840844768070816,0.0975379930962147,0.0892633161740633,0.1074211531393855,0.2506493573252329,0.2685528828484638,0.2506493573252329,0.3401669849413875,0.0,6.065497434840055,0.6347613594600058,1.1284646390400102,7.899252473280073,0.1410580798800012,0.2821161597600025,0.3526451997000032,0.1662470227157158
65,3.2750000000000004,0.7989023906700061,0.1304586565182735,0.1337201229312303,0.0480880985319488,0.2430545123748142,0.2951376221694172,0.2430545123748142,0.2951376221694172,0.2777765855712162,0.0,5.471356988523952,1.2994472847744396,0.6839196235654946,6.634020348585296,0.1367839247130989,0.5471356988523957,0.1367839247130989,0.0230299465078176
66,3.325,0.7658504584173688,0.1676981768796168,0.1676981768796168,0.0528731065826493,0.0673713430482988,0.4210708940518677,0.2694853721931953,0.404228058289793,0.3705423867656436,0.0,4.644539558632726,1.327011302466493,1.1943101722198437,6.369654251839165,0.0663505651233246,0.3981033907399477,0.4644539558632723,0.0446850744708104
67,3.375,0.7828192341576995,0.1504819939905777,0.1596951772961233,0.0543368424497517,0.1961699337673087,0.261559911689745,0.4086873620152266,0.3106023951315722,0.5067723288988809,0.0643992206811872,4.57234466836429,1.15918597226137,1.4811820756673062,5.023139213132602,0.1287984413623744,0.1931976620435616,0.2575968827247488,0.1301127111721945
68,3.4250000000000003,0.820047493278347,0.1848871720162237,0.1789230696931198,0.076211739344664,0.1587368772149217,0.3492211298728277,0.4285895684802886,0.5079580070877494,0.3492211298728277,0.0,4.564887772029114,1.1881214749116864,0.8129252196764168,6.628467175823097,0.0625327092058782,0.4377289644411476,0.4377289644411476,0.1895123942259779
69,3.475,0.8462404890993513,0.2549232909876983,0.2375421575112644,0.0768818887011582,0.2467229613475346,0.4934459226950693,0.3855046271055229,0.4317651823581857,0.4626055525266275,0.1214923673302253,6.013872182846156,1.57940077529293,1.9438778772836065,6.196110733841494,0.0,0.4859694693209015,0.6682080203162396,0.1227320853642072
70,3.5250000000000004,0.8681078852485625,0.2308512778818142,0.2364817968545413,0.0857854353714086,0.4345894413257266,0.5844478693690806,0.4495752841300619,0.569462026564745,0.4795469697387327,0.1180702766402183,5.195092172169603,1.6529838729630564,2.4204406711244744,5.549303002090258,0.0590351383201091,0.4722811065608733,0.4132459682407642,0.258429329993131
71,3.575,0.8869644035542503,0.3065510484795433,0.2846545450167188,0.1049259295906797,0.3205311237673465,0.5390750717905372,0.3205311237673465,0.4370878960463815,0.3496703168371053,0.0573953802889188,4.304653521668911,1.0905122254894577,2.181024450978915,4.075072000513236,0.0573953802889188,0.7461399437559448,0.4017676620224318,0.3478862846083447
72,3.625,0.9097846558319612,0.3593807544649382,0.3860015510919706,0.1360685718504454,0.4251136445978411,0.5951591024369777,0.6376704668967618,0.751034105456186,0.7793750150960421,0.0,4.186725287706013,2.4003891649514477,1.7863361227545655,4.633309318394654,0.0,0.2232920153443206,0.7256990498690422,0.2443680474048815
73,3.675,0.9344959624101912,0.440323120515732,0.4014710804702263,0.1018394383010983,0.661799672898215,0.7583121251958714,0.6480121797128355,0.5514997274151793,0.6342246865274562,0.0543143670939191,3.584748228198668,1.9553172153810916,2.4984608863202835,3.856320063668263,0.0543143670939191,0.4888293038452726,0.4345149367513534,0.274342976647857
74,3.725,0.9555629926390512,0.4916086222585824,0.4613557839657464,0.1115143684231662,0.6038931951531459,0.6575725902778702,0.6575725902778701,0.7783512293084991,0.7783512293084991,0.2114642838246707,4.282151747449582,2.4318392639837123,2.326107122071377,4.229285676493414,0.0528660709561676,0.6872589224301795,0.6343928514740119,0.4984515261581523
75,3.775,0.9616237006579692,0.5130385268723466,0.5670425823325935,0.1520119319373017,0.6664024913646983,0.6141356292968787,0.6925359223986078,0.7448027844664276,0.757869499983382,0.0514749399152767,4.220945073052696,2.1104725365263475,2.264897356272177,3.757670613815204,0.1544248197458303,0.7721240987291514,0.8235990386444282,0.4680017496378733
76,3.825,0.94908710844945,0.7053373918861084,0.6264352429632554,0.1715659846326975,0.7763677180259814,0.738185699106671,0.7890950576657516,0.6490943216282798,0.7381856991066709,0.1002760092830378,3.2088322970572136,2.1057961949437947,3.0082802784911364,3.559798329547845,0.2005520185660757,1.0528980974718976,0.3509660324906326,0.3376641128918621
77,3.875,0.943367877509982,0.7385055742144445,0.7618022800256261,0.1831968229697434,0.8184670367755912,0.6944568796883803,0.8184670367755915,0.6448528168534963,0.7812639896494279,0.1954099445010595,2.29606684788745,2.051804417261126,3.175411598142219,2.882296681390629,0.0977049722505297,0.830492264129503,0.5862298335031785,0.4277085009742577
78,3.925,0.948269665004459,1.039978204367106,0.9105486025135582,0.220966984743393,0.7614862243464621,1.1482728779827598,0.7735733072725961,0.894444136533939,0.7493991414203275,0.3333104685691586,2.380789061208277,2.095094373863283,2.571252186104939,2.9521784358982623,0.2856946873449931,0.8570840620349792,0.999931405707476,0.8497959322557705
79,3.975,0.9515438237979348,1.002910468494745,1.1645273872587985,0.239381223854292,1.1667072571852255,0.9781485085492296,0.730665150964485,0.8602992906517322,0.8485143688619822,0.1392763484243153,3.06407966533494,2.5533997211124486,2.553399721112449,2.135570675839503,0.2785526968486307,0.6963817421215769,0.9749344389702076,0.5940562616465696
80,4.025,0.9561345140821088,1.232942175241326,1.09474900673792,0.231348417832806,1.0919253482468645,0.8735402785974916,0.7471068172215388,0.953997935836734,0.7930826213582488,0.4075128093935667,1.9922848459241036,2.0828432480115624,2.1734016500990223,2.3545184542739404,0.3169544073061074,0.7244672166996742,0.6339088146122149,0.6098831160992155
81,4.075,0.9490905551477375,1.2618568869623783,1.2007653181444995,0.2526251276391327,1.0765079840077656,1.065294359174351,0.9307308611733804,0.784953738338996,0.9083036115065524,0.1325246571221681,2.0762196282473,2.6504931424433607,2.2970940567842466,1.987869856832521,0.3092241999517255,1.4577712283438484,0.7509730570256192,0.7288856141719245
82,4.125,0.9522484996593056,1.1348273901290182,1.210893718815203,0.2950373663936795,1.45547622182155,0.8754744191407817,0.908304709858561,1.0724561634474576,1.0177390122511585,0.2155524138036015,1.6381983449073714,2.802181379446821,2.284855586318177,2.198634620796736,0.3017733793250421,1.2502040000608887,1.0777620690180076,0.6968061703365404
83,4.175,0.9595594173715736,0.9171534507784828,1.0837261781627583,0.2919583866338306,1.6024327249757042,1.0896542529834785,0.8546307866537087,1.046922713650793,0.9828254046517648,0.4208409176703867,1.9358682212837783,2.9038023319256685,3.114222790760861,1.935868221283778,0.3366727341363094,0.7154295600396575,0.925850018874851,0.7227298616727148
84,4.2250000000000005,0.9674813622159092,0.9288889599623438,0.960243861564448,0.3101307082114399,1.5021409782915884,1.2517841485763237,0.8240912311460791,0.9492696460037116,1.157900337433099,0.2465635444165486,1.1095359498744688,2.506729368234912,3.616265318109381,1.8081326590546904,0.4520331647636725,1.5615691146381416,1.3971934183604426,0.5950232474950381
85,4.275,0.979246977060636,0.8824044533645614,0.7886130906425148,0.383822445870416,1.5792875299162843,1.2022963130975586,1.0290841323970628,1.0188951805911513,1.2430521203212042,0.3612446549368626,1.3647020297614811,2.488574289565052,2.8899572394949,1.083733964810588,0.3612446549368626,1.284425439775512,0.8027658998596948,0.7163456932931664
86,4.325,0.9921676613931564,0.7760951883763751,0.7368229017356426,0.3382346938170426,1.8515804242131595,1.1647038152308584,1.2542964164024628,1.1945680156213927,1.1447943483038348,0.3137249333955176,0.666665483465475,2.6666619338618998,2.8627400172340987,1.137252883558752,0.3529405500699573,1.4901934336287093,1.3333309669309503,0.6074418990999947
87,4.375,1.0066315982109433,0.7694230788755063,0.7548022127686083,0.3772557284542637,1.2841619169889318,1.3328044138445727,0.9923069358550836,1.3814469107002143,1.079863430195238,0.3832439146202047,0.919785395088491,2.721031793803453,3.33422205719578,0.6131902633923274,0.3832439146202047,1.2647049182466756,1.4563268755567778,0.6065421546693239
88,4.425,1.0228653429423844,0.773571890416032,0.768212269928161,0.4056562756757282,1.4550132789072276,1.0175583061638778,0.97951874331663,1.074617650434749,1.1887363389764931,0.4120952641785176,0.5619480875161604,2.360181967567873,3.708857377606657,0.4495584700129283,0.3371688525096963,1.610917850879659,1.610917850879659,0.441530640191269
89,4.4750000000000005,1.0384627487549023,0.7721036876083397,0.7738505285305312,0.4636076106564373,1.404083858781249,0.9205582915188324,0.911259722917632,1.0321411147332364,1.0414396833344366,0.5128301470965034,0.476199422303896,2.5275200106899085,3.1868730569568418,0.7326144958521477,0.4395686975112885,1.2820753677412575,1.3919675421190802,0.2590315538905808
90,4.525,1.0466681170637293,0.710715356627148,0.7090069062506404,0.4282289111342691,1.2368129371836942,1.1367765966761894,0.9185154901143616,1.1367765966761898,1.1367765966761902,0.8598164803950815,0.6448623602963112,2.4003210077696027,2.1853668876708325,0.5015596135637976,0.4657339268806692,1.0389449138107236,1.3972017806420076,0.3377850458694963
91,4.575,1.0455735492025977,0.8039008938472558,0.7738172845140947,0.4567048949712949,0.8718589959562697,1.0942720051287878,1.0497894032942845,1.0053068014597806,1.1654441680639935,0.5957972730560782,0.3154220857355708,2.3481421938092493,3.3294553494310257,0.4906565778108879,0.420562780980761,1.1915945461121564,2.102813904903805,0.2832361586196963
92,4.625,1.0473268941536056,0.7947902303076617,0.798060971996171,0.4709960950250783,0.7747632273534082,1.105561009818908,1.035919371405119,0.9836881425947768,0.9923933473965,0.6858646207418658,0.7201578517789591,2.5034058657078098,2.4691126346707177,0.685864620741866,0.3772255414080264,1.3374360104466383,1.2688495483724525,0.1847635304855639
93,4.675,1.046183273140416,0.8851191067695734,0.8451046806045835,0.5475064801902371,0.6475196002674283,1.0905593267661953,0.9712794004011426,1.0138793741029477,1.1672392794294435,0.6041450815892274,0.5705814659453815,2.4501439420007536,2.651525635863829,0.6712723128769192,0.5370178503015355,1.946689707343065,1.4096718570415296,0.2260406767850851
94,4.7250000000000005,1.0511894943859204,0.938562285338334,0.9354285214473876,0.525199242098235,0.4837567212577294,0.925810276889792,0.9508321762651916,1.0759416731421907,0.9424915431400588,0.427141514590158,0.6571407916771661,2.628563166708666,2.431420929205516,0.3614274354224414,0.427141514590158,1.905708295863783,1.807137177112208,0.2323462084858551
95,4.775,1.0551993463256315,0.8714481863332157,0.9312835371553906,0.5640248934872333,0.4246775668609757,1.037193288295074,1.0453601645808626,0.7758532471498588,1.01269265943771,0.5147606871042129,0.6434508588802661,2.5094583496330367,2.6703210643531023,0.5791057729922395,0.7077959447682929,1.898180033696785,1.6729722330886918,0.1516705595932055
96,4.825,1.0565560291060037,0.9466424650726812,1.0172649981812782,0.5494419415784408,0.495906572911823,0.9838146527121652,0.9998116389351271,1.0158086251580896,1.02380711826957,0.7877303821913122,0.6301843057530498,2.835829375888726,2.300172715998634,0.7247119516160073,0.3781105834518299,1.7960252713961935,1.51244233380732,0.1909844273557712
97,4.875,1.0658632477154972,0.992089387832212,0.9641224763057846,0.5020579144267227,0.4544453283500762,1.042090149492416,1.0029138280829268,0.9167259209820502,0.9402317138277436,0.7716548156414568,0.7099224303901402,2.1914996764217363,2.3149644469243693,0.4629928893848739,0.6481900451388236,1.6976405944112047,1.9754363280421288,0.1974806405743645
98,4.925000000000001,1.0710355728433254,0.9605102064100572,0.9980076018554946,0.5386972850924545,0.4990038009277476,0.8751758970117413,1.097808362041044,0.974976657197291,0.9903306203027602,0.5443677828302701,0.7863090196437232,2.358927058931169,2.631110950346304,0.9677649472538132,0.36291185522018,1.723831312295855,1.844801930702582,0.1120212614327596
99,4.9750000000000005,1.0750965159812649,1.0176223233170787,0.966741207151225,0.5918302555541519,0.4137895900154703,0.880243309669274,0.8727198625780835,0.8651964154868932,0.8802433096692743,0.652032081236499,0.8594968343572034,2.2821122843277477,2.222836640578973,0.6816699031108854,0.6223942593621128,2.430301393699678,1.896820599960725,0.2295419061495837
100,5.025,1.0782607034793246,1.0404187645647591,1.1138437905593424,0.5828347582271595,0.5235875728832915,0.8554388514712928,0.9586814714764492,0.9070601614738704,0.96605594433396,0.5229171662598813,0.7553247957087172,2.120719618720629,2.0045158039962114,0.7553247957087172,0.6100700273031947,1.714006267185166,1.6849553135040611,0.136954495925207
101,5.075,1.0801007371279625,1.1055865674361904,0.9426008326790124,0.5727420585451449,0.5711605222888072,0.99772344399817,1.2724588850991152,0.9326545237374192,1.0772521243168645,0.8829217126290351,0.6835522936482852,1.8797688075327843,2.4778770644750328,0.6835522936482852,0.5696269113735709,2.1361009176508907,1.8228061163954272,0.1822224864445046
102,5.125,1.0826010657438063,1.084119548201096,1.082787706004289,0.6257690830839662,0.6026073693553999,1.0137982802096726,1.0208877786726769,1.1484987510067608,0.9358137971166208,1.005419782026122,0.6423515274055779,2.178409527723263,2.401836145951291,0.502709891013061,0.6144232001270745,1.8991262549382293,1.7874129458242158,0.1598754245228611
103,5.175000000000001,1.08194066784878,1.133808198855318,1.0841714343893014,0.6342788822958553,0.5910191266985977,0.9873495998964807,0.9595369351106648,1.0151622646822973,0.9803964337000268,0.5752164762521116,0.5752164762521116,2.026953297269345,2.1639096011388954,0.739564040895572,0.821737823217302,1.8626057326258847,1.7804319503041546,0.2121425196673239
