,r ($\AA$),g_full(r),O (DOL),O (DOL),S (DMS),O (DMS-i),O (DMS-i),O (DMS),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
68,3.4250000000000003,0.8189423327322302,0.3341994715518084,0.2883664011675605,8.551159983325016,1.4039590740954302,1.246575761518896,0.4446703117241758,0.3151317390650283,0.5387736184014995,0.5997668582205375,0.4777803785824619,0.426952678733264,0.1201381996435591,4.8856201188380695,1.7219808615576822,2.0023033273926534,5.406218983960158,0.2002303327392652,0.3604145989306774,0.3203685323828243,0.1887885994398786
69,3.475,0.8534865624646483,0.2894036889582417,0.2856933852536488,5.093805116588603,1.453639478245153,1.4900411346285865,0.4805018642613358,0.3357539444679247,0.4345051046055498,0.5233811487294124,0.4740055686606,0.5826318448119874,0.155607888701712,4.20141299494622,2.2563143861748225,2.606432135753674,4.707138633226782,0.19450986087714,0.2723138052279961,0.4279216939297081,0.2619928738345151
70,3.5250000000000004,0.9053668215378048,0.3713968970072601,0.3984403603815752,2.71218502246754,1.7074973532752162,1.806551067139248,0.5188527869068337,0.518235968908413,0.4702511569724489,0.460654194585256,0.5854147056187626,0.5278329312956057,0.1512248618587961,4.650164502157986,2.2683729278819413,2.0415356350937475,4.498939640299187,0.1512248618587961,0.2646435082528933,0.3780621546469904,0.2546132878234834
71,3.575,0.9485289691763444,0.3610809891944487,0.3996430365841472,1.605040020241442,2.0613299688529367,1.976492139211604,0.5892789788600719,0.5411630538576695,0.6064758362198022,0.3825462966924904,0.6064758362198021,0.6344670286607161,0.183780556430243,3.491830572174617,2.3523911223071106,3.124269459314131,4.521001688183978,0.3308050015744374,0.0735122225720972,0.4043172241465346,0.2104099839946251
72,3.625,0.9693672821137996,0.4688202492356871,0.5199642764250348,0.965632749269527,2.216718135736512,2.1520452726214634,0.4504799430772387,0.6261602590351217,0.5626367544953268,0.3992905999644254,0.4809636772298761,0.4991132499555318,0.178745791995094,4.003905740690104,2.5381902463303367,2.359444454335242,3.932407423892066,0.2144949503941128,0.5362373759852819,0.5004882175862632,0.3731774392060839
73,3.675,0.9897960054100424,0.5540151683965918,0.5042533269238441,0.6227410689258723,2.406340924873843,2.42152973143301,0.4817021508764588,0.6268971269843703,0.4856245349878924,0.591578978985251,0.6445562009839301,0.5209426829870119,0.1391320981783494,3.1304722090128663,2.713075914477817,2.8522080126561677,4.069613871716726,0.2434811718121115,0.486962343624223,0.486962343624223,0.4333680915198077
74,3.725,1.003257118122426,0.6861616319705528,0.6538716728189976,0.3970505222855155,2.8638324905274413,2.8638324905274413,0.4266181143706072,0.7734687138303358,0.6789336488066281,0.5500221965015721,0.6015867774235946,0.6015867774235945,0.2708442634288042,3.487119891645853,2.200609640359033,2.945431364788244,3.724108622146056,0.067711065857201,0.7109661915006109,0.6432551256434099,0.5586162933219084
75,3.775,1.0126867915963451,0.7639986356897811,0.7199822533866661,0.2858390346321916,3.236767197921363,2.957097351086988,0.4441815214428297,0.7782193130492487,0.5857564721876068,0.7865872626519294,0.6443321194063673,0.6359641698036871,0.1648232497497594,3.131641745245432,2.0767729468469693,2.8349598956958646,3.2635003450452382,0.2307525496496632,0.5603990491491823,0.5603990491491824,0.6771208198903387
76,3.825,1.010744010406643,0.8834934310342907,0.9340225180778468,0.2804180530892864,3.310936012547072,3.3209509430145454,0.530791314776149,1.1410857698787118,0.725404525137181,0.6928020745692178,0.7254045251371812,0.81506126419908,0.1926508442652368,2.825545715890142,3.018196560155378,2.4081355533154607,3.146630456332203,0.2247593183094429,0.5137355847072982,0.4495186366188859,0.7676546396487243
77,3.875,1.015625463868704,1.0816459837632446,1.1681776624643043,0.2107760752037804,3.612467733353679,3.708097619325764,0.4430200839931312,0.9132879298448698,0.7782801489112807,0.7703385147387167,0.6988638071856403,0.7306303438758962,0.2502818042262621,2.565388493319189,2.7218146209606022,3.159807778356559,2.7530998464888845,0.1877113531696966,0.7195601871505035,0.5005636084525242,0.7901115630867337
