,r ($\AA$),g_full(r),O (DOL),O (DOL),O (MA-i),O (MA),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
54,2.725,0.7956016644948608,0.1094061664821051,0.0781472617729322,0.0071507973747926,0.1751945356824189,0.0499180662894176,0.8652464823499061,0.665574217192235,0.8153284160604881,0.881885837779712,0.9832346390339844,12.978697235248582,1.7042733743255734,1.0487836149695833,11.14332590905181,0.5243918074847915,0.1310979518711978,0.1966469278067968,0.0
55,2.7750000000000004,0.7793764192615826,0.1085134898288478,0.0783708537652789,0.0,0.1896245832362695,0.0160451570430689,0.818303009196516,1.0268900507564125,0.8022578521534474,0.7220320669381027,0.7584983329450777,13.463345409775137,2.1490786100110526,1.200955693829706,13.400137215363056,0.5056655552967185,0.0632081944120898,0.1896245832362694,0.0
56,2.825,0.7710931181989595,0.1047063965237948,0.1047063965237948,0.0033267597058983,0.1397239076477306,0.0464466835861961,0.8205580766894651,0.8670047602756613,0.6347713423446807,0.7276647095170728,0.3659435676488182,12.076137732410997,1.5857554598115464,1.6467460544196828,11.710194164762177,0.1219811892162727,0.4269341622569546,0.1219811892162727,0.0
57,2.875,0.7670290007094266,0.1010961951314027,0.075822146348552,0.0,0.128482216769386,0.0896904705524752,0.7474205879372937,0.597936470349835,0.7474205879372937,0.7025753526610561,0.1177753653719371,12.543076412111288,2.2377319420668056,1.7077427978930884,12.366413364053392,0.1177753653719371,0.2944384134298428,0.3533260961158114,0.0
58,2.9250000000000003,0.7843531666034512,0.1030956247668327,0.1085217102808765,0.0062063655796997,0.0837859353259461,0.0577669411648973,0.6209946175226466,0.6065528822314223,0.505460735192852,0.7220867645612169,0.1137833689611614,11.83347037196079,1.7636422188980008,2.048100641300904,11.093878473713238,0.2844584224029035,0.1137833689611614,0.3982417913640649,0.0
59,2.975,0.8123519732424986,0.0865463449345025,0.1101498935530031,0.0059995062053268,0.0959920992852302,0.1116831155145468,0.7957421980411465,0.8236629769197836,0.6421779142086443,0.5165344092547791,0.0,11.824026812998426,1.8698461006602152,2.254814415502024,11.49405397170545,0.0549954735488298,0.1649864206464896,0.4949592619394689,0.0
60,3.0250000000000004,0.8523593867490803,0.1090753874340032,0.0862456551803747,0.0029014094985327,0.0754366469618523,0.1755352746612332,0.7021410986449335,0.6751356717739747,0.769654665822331,0.7831573792578106,0.2659625373655049,10.798079017039507,2.446855343762647,2.2872778213433445,11.489581614189817,0.1063850149462019,0.5319250747310099,0.3191550448386059,0.0
61,3.075,0.9053453742448464,0.1350149422092993,0.1080119537674394,0.0056156477841523,0.1347755468196568,0.1045374433665287,0.7186949231448853,0.6533590210408046,0.6272246601991723,0.6141574797783562,0.05147677135473,11.582273554814266,1.8531637687702829,2.3164547109628537,11.42784324075008,0.05147677135473,0.3603373994831104,0.1029535427094601,0.0
62,3.125,0.9452370745995572,0.1212215470008996,0.1497442639422877,0.0054373884637577,0.0788421327244872,0.1644810010286716,0.6073144653366334,0.7211859275872524,0.6326192347256598,0.6199668500311466,0.0498427275844459,12.360996440942598,2.492136379222296,2.043551830962283,11.962254620267036,0.0498427275844459,0.3987418206755675,0.4485845482600134,0.0
63,3.1750000000000003,0.9579832885751376,0.1381572785963989,0.1473677638361589,0.0079012261808849,0.0711110356279646,0.2083695160779535,0.7844499428817074,0.8212210339542874,0.8089640035967608,0.8579921250268676,0.1448558133162243,11.347038709770924,2.559119368586632,2.6556899107974488,10.6227596431898,0.0965705422108162,0.6277085243703054,0.5794232532648974,0.0162593259844741
