,r ($\AA$),g_full(r),O (DOL),O (DOL),O (TFPE),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
46,2.325,0.8487460332523249,0.6071200566833603,0.701180910535712,0.0158216117807066,0.0,3.755198703797726,3.5276109035675605,3.846233823889793,3.7096811437516943,32.18643223255096,10.310417010427194,0.896558000906712,1.7931160018134236,9.413859009520484,32.72436703309498,0.0,0.0,0.0
47,2.375,0.7928321091205754,0.5326586353713223,0.4711980235977082,0.0151624753466456,0.021810637614021,2.639087151296543,2.9008148026647937,2.9662467155068564,2.551844600840456,17.871504275246316,10.654166010243006,2.491700115298765,1.9761759535128136,9.623117686671106,16.582693870781437,0.0,0.0859206936309919,0.0
48,2.4250000000000003,0.794328569155534,0.3772951734464791,0.3379935928791376,0.0218155297480751,0.0,2.635987240636652,2.008371230961258,2.384940836766495,2.384940836766494,11.20833439501106,10.384192160083778,1.977941363825482,2.225184034303666,12.279719300416524,10.466606383576508,0.0824142234927283,0.0,0.0
49,2.475,0.8551510026186105,0.2603351452917608,0.279200010892613,0.0139620181773152,0.0,2.1088017454737287,1.6870413963789823,1.6870413963789828,1.6267899179368757,5.696503416344612,11.94683355372272,2.8482517081723078,2.769133605167521,12.263305965741868,5.538267210335037,0.0791181030047863,0.0,0.0
50,2.5250000000000004,0.9299080008624104,0.2356271273577627,0.2102518982576959,0.0067072798079626,0.0192963280629078,1.775262181787528,1.3507429644035538,1.2928539802148291,1.0805943715228432,4.180871080296713,13.302771619125895,1.6723484321186843,2.4325068103544503,12.162534051772251,4.180871080296712,0.1520316756471531,0.1520316756471531,0.0
51,2.575,0.9705813248581592,0.1638244180092407,0.1951950512450526,0.0064493399284557,0.0,1.3173520958477924,1.6513286835275145,1.2431350763634097,1.502894644558749,2.631330690809932,11.914080627833858,2.1196830564857785,1.973498018107449,15.495614068102944,3.216070844323249,0.1461850383783295,0.0730925191891647,0.0
52,2.625,0.9526466998547936,0.124102024432918,0.1744136559597766,0.0062059980421722,0.0,1.3747717816805831,1.2140841708348014,0.964125665074695,1.0891049179547478,1.12535431164723,13.574586384244718,2.6727164901621707,2.461712556728315,13.504251739766763,1.3363582450810854,0.7736810892574707,0.2110039334338556,0.0
53,2.6750000000000003,0.8824364619483707,0.1421154673204158,0.1614948492277451,0.0119523460604919,0.0,1.0487723962463966,0.945614455631997,1.0831583764511965,1.272281267577596,0.47410972706618,13.478262240881424,2.6414684793687178,3.2510381284538084,13.342802318862514,0.6095696490850887,0.5418396880756344,0.4063797660567257,0.0
54,2.725,0.8182966109219808,0.1369482120839872,0.1307232933528968,0.0172766461039351,0.0331357212454962,1.0934788011013752,0.96093591611939,0.8780966130056499,0.8283930311374056,0.3916039783558641,15.664159134234572,1.3706139242455246,1.7622179026013889,14.685149188344912,0.7179406269857509,0.4568713080818414,0.2610693189039094,0.0
55,2.7750000000000004,0.7949106122426487,0.0990433003365768,0.1050459245993997,0.0,0.0958572920740017,1.022477782122685,0.7029534752093463,0.9585729207400174,1.0065015667770183,0.2517464236286913,12.776130999156086,2.0139713890295297,2.0139713890295297,12.461447969620226,0.377619635443037,0.4405562413502098,0.4405562413502098,0.0
56,2.825,0.7972786307092001,0.1071525154052206,0.0781923761065123,0.0107168002110728,0.0616628196760189,0.9866051148163034,0.8632794754642653,0.7553695410312322,0.9557737049782936,0.2429141381176502,12.44934957852958,2.429141381176503,2.36841284664709,12.69226371664722,0.4250997417058879,0.4250997417058879,0.7287424143529507,0.0
57,2.875,0.8023694532135386,0.1202349422798706,0.1062541350380252,0.0103472926324674,0.0893050948740649,0.8483984013036167,0.7739774889085625,0.7888616713875735,0.7144407589925196,0.4690772660051894,11.902835624881662,1.9349437222714063,1.6417704310181631,11.551027675377773,0.4104426077545406,0.4690772660051893,0.8795198737597302,0.0
58,2.9250000000000003,0.8186293232941083,0.1188609640479605,0.1026526507686931,0.0,0.0575187322525794,0.8340216176624017,0.6758451039678081,0.8771606668518359,0.9346793991044154,0.113294472618717,12.009214097584024,2.719067342849211,2.2658894523743416,11.32944726187171,0.2265889452374341,0.3965306541655098,0.5664723630935854,0.0
59,2.975,0.8624844252061898,0.1227333484699679,0.1096766092710351,0.0,0.1668048650891347,0.7923231091733891,0.6533190549324439,0.7645222983252002,1.0147295959589018,0.0,12.375573071512049,2.245126088194666,1.7522935322494957,12.21129555286366,0.0547591728827967,0.6571100745935609,0.6023509017107641,0.0
