,r ($\AA$),g_full(r),O (DOL),O (DOL),O (FDE),O (FDE),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
44,2.225,1.5406707386570777,1.4611793610585526,1.6473168592825718,0.0,0.0,0.0,7.579805293063953,7.555034687531063,7.282558026669285,6.886228338143067,77.57703278254692,5.074221012191752,0.4879058665568991,0.2927435199341394,5.562126878748652,79.72381859539729,0.0,0.0,0.0
45,2.275,1.2715475228333653,0.9258385058982902,0.89022933259451,0.0,0.0,0.0,5.165247546072199,5.283716526486699,5.994530408973699,5.781286244227599,51.24321898292644,7.373796538526766,1.2134095569727574,0.840052770211909,5.880369391483369,56.37687480088814,0.0,0.0,0.0
46,2.325,1.0469139109576169,0.7287618774405036,0.7330236428056528,0.0,0.0,0.0226857048667938,4.695940907426339,3.607027073820232,3.516284254353056,4.718626612293133,30.295727681200194,6.8813304762608105,1.3405189239469113,1.876726493525676,7.060066332787064,32.17245417472586,0.0,0.0,0.0
47,2.375,0.929814875612744,0.4778535108694829,0.5758747438683511,0.0,0.0,0.0217406068061592,3.065425559668454,3.108906773280772,3.652421943434751,3.2610910209238866,17.814121455713497,8.735771098474892,1.9698307378913988,1.798541108509538,8.821415913165819,19.27008330545931,0.1712896293818607,0.0,0.0
48,2.4250000000000003,0.8309115403088476,0.3721661942402766,0.3760837331270165,0.0,0.0,0.0208533608432608,2.690083548780653,2.6483768270941304,2.544110022877827,2.4815499403480445,9.940102001954354,10.761598035173725,1.3143936531509874,1.9715904797264807,12.4867397049344,11.911692481680848,0.2464488099658102,0.0,0.0
49,2.475,0.8041487616083156,0.293346974568134,0.2783035399748964,0.0,0.0,0.0600580196453102,2.3222434262853318,1.9618953084134692,2.422340125694182,2.282204746521792,5.91480496506844,11.671881797735043,1.9716016550228124,2.0504657212237247,9.542552010310406,6.2302612298720845,0.0788640662009124,0.0,0.0
50,2.5250000000000004,0.8671421349764112,0.2204169895892133,0.2637777088526651,0.0,0.0,0.0,1.5387496271953165,1.654155849234964,1.9234370339941451,2.192718218753324,3.1824140016994016,13.6389171501403,2.1216093344662683,1.7427505247401491,10.304959624550444,4.318990430877755,0.2273152858356715,0.0757717619452238,0.0
51,2.575,0.9464685116898278,0.201517176269436,0.1841450059013812,0.0,0.0,0.0369893596759813,1.7569945846091148,1.405595667687292,1.4795743870392548,1.5720477862292082,2.6957396975980386,11.29296359804583,2.112877060279544,1.748587911955484,12.167257554023577,2.841455356927662,0.1457156593296236,0.1457156593296236,0.0
52,2.625,0.9893251433792152,0.1939136741535739,0.1237035507531419,0.0,0.0,0.0711874071693757,1.352560736218138,1.2279827736717306,1.6729040684803285,1.494935550556889,1.4722850119120885,12.970129866844603,2.033155492640504,1.682611442185244,14.02176201821038,1.3320673917299846,0.4907616706373627,0.0701088100910518,0.0
53,2.6750000000000003,0.959518708226316,0.1062443663075395,0.1094638925592831,0.0,0.0,0.0171377858938968,1.5081251586629203,1.268196156148365,1.2339205843605718,1.4395740150873335,1.0801998381607687,12.084735689423605,1.620299757241154,2.0928871864364904,12.422298138848848,0.8776623685056246,0.4725874291953363,0.067512489885048,0.0
54,2.725,0.9168660471464024,0.1396109568586591,0.1116887654869273,0.0,0.0,0.049543990844201,1.172541116646092,0.9908798168840216,1.2055704438755592,0.9908798168840216,0.3903465945300691,10.799589115331909,1.3662130808552415,1.8866752068953332,12.100744430432137,0.3252888287750576,0.5204621260400922,0.3252888287750576,0.0
55,2.7750000000000004,0.8931660054527283,0.1256503647653224,0.1286420401168777,0.0,0.0,0.0636996721008081,0.9714199995373242,0.9236452454617184,0.9714199995373244,1.1465940978145468,0.3764071533229569,13.29971941741116,1.8820357666147849,2.007504817722437,12.358701534103776,0.5018762044306092,0.3764071533229569,0.3764071533229569,0.0
56,2.825,0.8715511867944354,0.0894881726673693,0.1443357623667247,0.0,0.0,0.1536620731658055,1.0602683048440582,0.9527048536279944,1.0449020975274776,1.4136910731254109,0.4842683517952657,13.438446762318613,2.6634759348739627,1.2712044234625723,11.561906899111964,0.3026677198720411,0.5448018957696739,0.3632012638464493,0.0
57,2.875,0.8454069945418832,0.1031257849760794,0.1142745184870068,0.0,0.0,0.1038547406287169,1.0237110147687816,0.9198562741400648,1.053383797805558,1.0978929723607225,0.1168927816600277,13.384223500073194,1.636498943240388,2.045623679050485,12.273742074302929,0.1168927816600277,0.2337855633200555,0.4675711266401111,0.0
58,2.9250000000000003,0.8298280297185703,0.1265574540191835,0.1319428775944678,0.0,0.0,0.1003345838410678,0.7883431587512474,0.7883431587512474,0.7740096467739519,0.8600107186377243,0.1129307004271759,12.704703798057276,2.315079358757107,0.7905149029902315,10.61548584015453,0.2258614008543518,0.3952574514951157,0.9034456034174076,0.0
59,2.975,0.8419145767220365,0.1379570484848217,0.1119274166952327,0.0072050020793582,0.0,0.1385577322953506,0.8729137134607086,0.6650771150176831,0.9283368063788487,1.1915964977400155,0.0545833490860472,12.335836893446675,1.910417218011652,1.9650005670976989,10.752919769951305,0.1091666981720944,0.3820834436023306,0.6550001890325667,0.0
60,3.0250000000000004,0.8687546157456257,0.1283990226855338,0.1334342784771233,0.0,0.0,0.1742198503889987,0.7638870363209946,0.8845007788979946,0.7504855093679946,0.9917129945219936,0.1055877881145446,11.509068904485376,2.534106914749072,2.164549656348165,11.72024448071447,0.1055877881145446,0.8447023049163572,0.5279389405727233,0.0
61,3.075,0.8941343911460697,0.1364395899998642,0.1802951724998206,0.0,0.0,0.24641589688437,1.0894176493835306,0.8559710102299168,1.0116021029989926,0.7781554638453789,0.1021820306059588,11.086750320746535,2.9632788875728067,1.9925495968161973,10.831295244231638,0.0510910153029794,0.8174562448476709,0.5620011683327737,0.017204117397942
62,3.125,0.906388835358403,0.143903949769355,0.1769310857819938,0.0,0.0,0.3516119710884011,0.8287996461369456,0.7660117941568738,0.92926020930506,0.7660117941568738,0.1484076501347148,11.724204360642478,3.017622219405868,2.3745224021554354,9.54755882533333,0.0989384334231432,0.8409766840967169,0.6430998172504307,0.0
