,r ($\AA$),g_full(r),O (DOL),O (DOL),O (G3),O (G3),O (G3),O (G3),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
66,3.325,0.8324067466324824,0.0749966278711508,0.0583307105664506,0.4034333526650842,0.3980542412962163,0.4034333526650841,0.430328909509423,0.133070939709837,0.088713959806558,0.1885171645889357,0.1441601846856567,0.088713959806558,0.0,4.849024393972087,0.7426433756533831,0.305794331151393,4.543230062820694,0.043684904450199,0.131054713350597,0.0,0.0147102229271078
67,3.375,0.8009672379817853,0.093010729977934,0.0849228404146354,0.3863476201095108,0.443777671747411,0.3602430511831926,0.5325332060968934,0.086104916581579,0.1614467185904607,0.1291573748723686,0.139920489445066,0.1291573748723686,0.0424001483166866,4.494415721568787,0.805602818017047,0.5088017798002401,4.282414979985355,0.0424001483166866,0.0424001483166866,0.1696005932667467,0.0571104038551289
68,3.4250000000000003,0.7813276958702868,0.1099486448938127,0.09227832696445,0.2991060283665104,0.4359850582969471,0.4562634331014563,0.4359850582969471,0.1463162735894585,0.1672185983879527,0.0836092991939763,0.1567674359887056,0.1672185983879527,0.0411712458152156,5.269919464347599,0.6999111788586656,0.8645961621195277,5.640460676684537,0.0,0.1235137374456468,0.205856229076078,0.0831827211368641
69,3.475,0.7864288630564383,0.0915492615615724,0.1277875109296947,0.3792063785017742,0.295485489741642,0.4284539601253814,0.3939806529888564,0.1522886754822309,0.2030515673096413,0.1522886754822309,0.162441253847713,0.1725938322131951,0.0,5.199350738686264,0.9198851306906478,0.95988013637285,4.67941566481764,0.039995005682202,0.1199850170466062,0.1199850170466062,0.0673385299751361
70,3.5250000000000004,0.8192960268300983,0.1186274427638427,0.129748765522953,0.3110927224532214,0.2823764711498469,0.3110927224532213,0.3972414763633439,0.2466652355546251,0.13813253191059,0.147999141332775,0.187465579021515,0.167732360177145,0.0,4.236662288253382,0.8551061499227001,1.0105799953631909,4.547609979134363,0.0388684613601227,0.1166053840803682,0.1943423068006136,0.0523534377503694
71,3.575,0.8661256676478708,0.1639883285862018,0.1693945372209118,0.2466145620480376,0.2931456114910636,0.2698800867695506,0.3722483955442076,0.1726659865485824,0.2589989798228737,0.1342957673155641,0.2494064250146191,0.2877766442476375,0.0755777045498846,4.232351454793543,0.9069324545986152,0.9069324545986152,4.496873420718138,0.0,0.1133665568248269,0.0755777045498846,0.0890737232195068
72,3.625,0.9254427246090569,0.1805281934712894,0.1998079034536602,0.1855508587584201,0.2579609499812181,0.298691626294042,0.3213197798011664,0.2425738055963734,0.2145845203352535,0.2892226143649068,0.3825202319019736,0.3172118996260269,0.0,4.22666479448227,1.3231298487074918,0.7350721381708291,5.071997753378726,0.0367536069085414,0.1837680345427072,0.1470144276341658,0.1113859311411919
73,3.675,0.9739899662200288,0.2131666919400736,0.2506840297215264,0.2774094060244615,0.2509894625935605,0.3082326733605128,0.3742825319377655,0.3540272419740744,0.1997076749597343,0.1997076749597343,0.2087852965488131,0.2814062692614437,0.0,4.076677331822679,1.4304130988851491,1.2873717889966336,4.326999624127579,0.0,0.1788016373606436,0.1788016373606436,0.1083756863185941
74,3.725,0.9886975483903244,0.2805164592589508,0.3236728376064819,0.2357249942461288,0.2485827212050085,0.3471586278897533,0.3042995380268208,0.4152716122411526,0.2827381189726995,0.2915736851905963,0.2915736851905964,0.3004092514084933,0.0348067760098967,4.002779241138122,1.635918472465146,1.5314981444354556,3.863552137098537,0.0348067760098967,0.0,0.2088406560593802,0.1523684378392417
75,3.775,0.9749473802766788,0.3345498220167076,0.3830353034684042,0.1669251401222592,0.1836176541344852,0.3338502802445184,0.3129846377292359,0.4129471158716818,0.3183134018177546,0.369931791301715,0.2925042070757745,0.3441225965597348,0.0338908617823981,3.795776519628585,1.1861801623839334,1.5250887802079145,3.35519531645741,0.0677817235647962,0.1016725853471943,0.1694543089119905,0.1711834345131333
76,3.825,0.9667766497102586,0.4549456305942164,0.4706876939365766,0.1829133777914565,0.1707191526053594,0.2967261461950297,0.2885966627376315,0.5362957702357367,0.385462584856936,0.3100459921675355,0.3268052349874023,0.2681478851178686,0.0330106297967073,3.4331054988575587,1.782574009022193,1.881605898412315,4.027296835198289,0.0330106297967073,0.1650531489835365,0.0990318893901219,0.2112006620666886
77,3.875,0.976897480388978,0.559853172912842,0.6350115440710044,0.1742630281011062,0.2099077383945142,0.2495129720538565,0.3287234393725413,0.62868738599553,0.3674147061012836,0.4164033335814548,0.4000737910880645,0.3429203923611981,0.0643285007315378,2.798289781821896,2.09067627377498,1.897690771580366,3.2807535373084296,0.0964927510973067,0.3216425036576892,0.1286570014630756,0.2924321130193887
78,3.925,0.9967435533993916,0.6787367683790076,0.7863778417783216,0.1466899702585179,0.1852925940107594,0.2470567920143459,0.3126812523931564,0.6446044280105071,0.4774847614892648,0.4138201266240294,0.4058620472658749,0.4854428408474189,0.0627000191854589,3.1977009784584127,2.225850681083797,2.069100633120149,3.323101016829331,0.0313500095927294,0.3448501055200245,0.1254000383709179,0.2639158970816513
79,3.975,1.0141343997972951,0.7638041495562189,0.8614661305109268,0.1994793279959258,0.2145343716182599,0.312392155163431,0.3123921551634311,0.9000599925598474,0.3957160312116572,0.418993444812343,0.5121030992150859,0.550898788549562,0.0,3.026063768089145,2.2619062508949157,2.1396410481438397,3.209461572215756,0.0611326013755382,0.2139641048143838,0.2139641048143838,0.370538420582344
80,4.025,1.0178487083462209,0.8302448905069899,1.0107947211480657,0.1761999992529658,0.1872124992062762,0.2606291655616787,0.2789833321505293,0.8475671758937531,0.4313511520173566,0.5751348693564754,0.4616214082992764,0.4389187160878366,0.059623232070448,2.653233827134938,2.027189890395234,2.563798979029266,2.4445525148883704,0.059623232070448,0.4173626244931364,0.119246464140896,0.3814670051854174
81,4.075,1.0112033514495524,0.8224788468830256,1.0277518137273556,0.1647400433791023,0.1504148222157021,0.300829644431404,0.3366426973399045,0.900725829151024,0.524192900571498,0.5389588977706952,0.406064922977921,0.6054058851670823,0.0290845399378125,1.8032414761443776,2.123171415460316,2.1813404953359408,2.50127043465188,0.0290845399378125,0.2617608594403126,0.2617608594403126,0.5484513245416073
82,4.125,1.0017857056865105,0.7336294926646135,0.8486820883776985,0.18174067621333,0.1572755851846125,0.2900860793405074,0.2621259753076875,1.116791078387829,0.6268440246434915,0.5764082985227511,0.5475878835966137,0.634049128375026,0.0283837419727112,2.0152456800624936,2.299083099789605,2.724839229380273,2.270699357816895,0.0567674839454224,0.4257561295906681,0.2270699357816896,0.5925830211853789
83,4.175,0.9948446607233544,0.5853509054984324,0.6421682620140815,0.1228248859352527,0.1296484907094335,0.3309448315477641,0.3923572745153905,1.4207794925194108,0.6048863185973731,0.604886318597373,0.618953442285684,0.7033561844155504,0.0,1.1360268069499635,2.770797090121864,2.4937173811096787,1.911849992184086,0.0,0.1662478254073118,0.3602036217158422,0.6157955165597364
84,4.2250000000000005,0.9895545991100564,0.5238395167234945,0.5199687813782471,0.1699079500055653,0.1265980803963036,0.3098321441277955,0.3065006156963138,1.332406355458424,0.5563139937738779,0.6662031777292118,0.5631820677710863,0.6593351037320035,0.0541120981598235,0.7846254233174416,2.489156515351884,2.570324662591619,1.244578257675942,0.1082241963196471,0.2705604907991178,0.3787846871187649,0.555753334672065
85,4.275,1.0000824362352094,0.3843734387900946,0.4247011438434822,0.133416236914027,0.1627027279439354,0.2961189648579622,0.3742162742710512,1.4288803879925551,0.5769188421002799,0.670835862907302,0.5836272007293528,0.7513361664561787,0.0,0.819232887126191,2.4048449267252723,2.3255643247453173,0.7928060197995399,0.0528537346533026,0.422829877226421,0.2378418059398619,0.6229190155567812
86,4.325,1.0156236855327787,0.3164366524175532,0.3484496989656326,0.1748588621727756,0.1748588621727755,0.3370007161875312,0.4101235130961462,1.474683830631938,0.7864980430037006,0.6488608854780531,0.6881857876282381,0.6750774869115097,0.0516387603992328,0.464748843593096,2.220466697167015,2.76267368135896,0.516387603992329,0.1032775207984657,0.4389294633934795,0.3356519425950137,0.4607968976441747
87,4.375,1.039726355131574,0.3188715338803727,0.3008222017739365,0.1460289744850076,0.1677779706849024,0.3790539337695945,0.3821609332267223,1.4924113392376133,0.4932003138253051,0.6084938936805713,0.6277094903231155,0.6853562802507491,0.0252326016518259,0.2775586181700854,2.649423173441722,2.876516588308157,0.2523260165182595,0.0504652033036518,0.6308150412956488,0.7822106512066042,0.484311466398823
88,4.425,1.0651555556575123,0.2505411988751246,0.2799474428745524,0.1214872886424121,0.1214872886424121,0.3857221414396585,0.3553503192790554,1.2772986624342229,0.6449105991702204,0.5635141157798043,0.582297919639131,0.688739474841983,0.0246656010273988,0.2959872123287859,2.491225703767281,2.7625473150686672,0.1479936061643929,0.1726592071917917,0.5919744246575721,0.443980818493179,0.3488420716732117
89,4.4750000000000005,1.0844545707320217,0.2794772072853508,0.2944286628191351,0.1692724489307074,0.1811512172767219,0.4068478158509989,0.3444842820344223,1.212182622140224,0.5448699665175754,0.6183355799806188,0.5203814286965605,0.599969176614858,0.2170574943226296,0.1688224955842674,2.6288074312407343,2.7493949280866405,0.2411749936918107,0.2411749936918107,0.6270549835987079,0.5547024854911646,0.2679995593167162
90,4.525,1.0948513800321948,0.2643364146104278,0.2767096084858095,0.1684567535218183,0.1829788874461129,0.3862887623862385,0.4269507373742633,0.9340636540106332,0.4909821771081535,0.5269077022624085,0.5568456398909543,0.5388828773138267,0.0235874660103695,0.1651122620725868,3.11354551336878,2.877670853265087,0.1415247960622173,0.0235874660103695,0.6132741162696083,0.5896866502592387,0.1826825173660254
91,4.575,1.0917038103332024,0.2916017144443316,0.3180109263185353,0.1875251126739162,0.1647947959861688,0.4290347274812326,0.4830192296146328,0.7380358979921672,0.5447407818513618,0.5974576317079453,0.5213110708039914,0.4393070821381952,0.1153735771272027,0.1845977234035243,2.6766669893511064,3.20738544413624,0.1615230079780838,0.0692241462763216,0.8076150398904194,0.5768678856360137,0.1320909729966545
