num_tfmtms,num_tfsi,num_dol,num_ps,num_li,atoms_tfmtms,atoms_tfsi,atoms_dol,atoms_ps,atoms_li,count,%,cluster
0,2,3,0,1,,1O:1O,:1O:1O,,,7,0.03536067892503536,Cluster_053_057.xyz
0,1,0,9,1,,1O,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,7,0.03536067892503536,Cluster_015_164.xyz
0,1,0,9,1,,2O,,:::::1S:1S:1S:1S,,6,0.030309153364316024,Cluster_090_043.xyz
0,0,2,9,1,,,1O:1O,1S:1S:2S:2S:2S:2S:2S:2S:2S,,6,0.030309153364316024,Cluster_072_003.xyz
0,0,4,1,1,,,1O:1O:1O:1O,1S,,6,0.030309153364316024,Cluster_062_107.xyz
0,1,1,9,1,,1O,1O,1S:2S:2S:2S:2S:3S:3S:3S:3S,,6,0.030309153364316024,Cluster_063_047.xyz
0,4,0,0,1,,1O:1O:2O:2O,,,,6,0.030309153364316024,Cluster_091_018.xyz
0,0,2,9,1,,,1O:1O,1S:2S:2S:2S:2S:3S:3S:3S:3S,,6,0.030309153364316024,Cluster_042_087.xyz
0,0,1,9,1,,,1O,1S:1S:1S:1S:1S:1S:2S:3S:3S,,6,0.030309153364316024,Cluster_085_181.xyz
0,2,2,0,1,,1O:1O,1O:2O,,,6,0.030309153364316024,Cluster_037_167.xyz
0,1,0,9,1,,1O,,2S:2S:2S:2S:2S:2S:2S:2S:2S,,6,0.030309153364316024,Cluster_059_001.xyz
0,1,1,9,1,,1O,1O,::::1S:1S:2S:2S:2S,,5,0.025257627803596687,Cluster_070_089.xyz
0,2,3,0,1,,:1O,1O:1O:1O,,,5,0.025257627803596687,Cluster_069_069.xyz
0,1,0,1,1,,1O,,3S,,5,0.025257627803596687,Cluster_052_046.xyz
0,2,0,1,1,,1O:1O,,3S,,5,0.025257627803596687,Cluster_081_023.xyz
0,2,2,1,1,,1O:1O,1O:1O,2S,,5,0.025257627803596687,Cluster_001_059.xyz
0,0,1,9,1,,,1O,:::1S:1S:2S:2S:2S:2S,,5,0.025257627803596687,Cluster_019_043.xyz
0,0,2,9,1,,,1O:1O,::::1S:1S:2S:2S:2S,,5,0.025257627803596687,Cluster_028_089.xyz
