num_dol,num_mtbe,num_tfsi,num_ps,num_li,atoms_dol,atoms_mtbe,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
3,0,2,0,1,1O:1O:1O,,1O:2O,,,8,0.0404122044857547,Cluster_014_039.xyz
1,0,0,9,1,1O,,,1S:2S:2S:2S:2S:3S:3S:3S:3S,,8,0.0404122044857547,Cluster_004_058.xyz
1,0,0,17,1,1O,,,:::::1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S,,8,0.0404122044857547,Cluster_035_069.xyz
2,0,2,0,1,1O:2O,,1O:1O,,,8,0.0404122044857547,Cluster_096_171.xyz
0,0,2,1,1,,,1O:2O,2S,,7,0.03536067892503536,Cluster_043_000.xyz
0,0,2,1,1,,,1O:1O,3S,,7,0.03536067892503536,Cluster_040_000.xyz
0,1,0,9,1,,1O,,:::::1S:1S:1S:1S,,7,0.03536067892503536,Cluster_036_141.xyz
0,0,1,9,1,,,1O,1S:1S:1S:1S:1S:1S:1S:1S:1S,,6,0.030309153364316024,Cluster_002_090.xyz
0,3,0,0,1,,1O:1O:1O,,,,6,0.030309153364316024,Cluster_070_138.xyz
1,0,1,9,1,1O,,1O,::::1S:1S:2S:2S:2S,,6,0.030309153364316024,Cluster_072_183.xyz
1,0,0,9,1,1O,,,1S:1S:1S:2S:2S:3S:3S:3S:3S,,6,0.030309153364316024,Cluster_007_058.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:2S:3S:3S:3S:3S,,6,0.030309153364316024,Cluster_027_061.xyz
0,1,0,9,1,,1O,,1S:1S:1S:2S:2S:3S:3S:3S:3S,,6,0.030309153364316024,Cluster_059_187.xyz
0,1,0,9,1,,1O,,1S:1S:2S:2S:2S:2S:2S:2S:2S,,6,0.030309153364316024,Cluster_057_100.xyz
0,0,3,0,1,,,1O:1O:2O,,,6,0.030309153364316024,Cluster_042_020.xyz
1,0,1,9,1,1O,,1O,1S:2S:2S:2S:2S:3S:3S:3S:3S,,5,0.025257627803596687,Cluster_067_187.xyz
0,1,1,1,1,,1O,1O,3S,,5,0.025257627803596687,Cluster_013_130.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:1S:2S:2S:2S:2S,,5,0.025257627803596687,Cluster_014_136.xyz
0,0,0,17,1,,,,:::::1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:2S,,5,0.025257627803596687,Cluster_000_069.xyz
0,0,2,9,1,,,1O:1O,:::::1S:1S:1S:1S,,5,0.025257627803596687,Cluster_002_051.xyz
1,0,0,1,1,1O,,,1S,,5,0.025257627803596687,Cluster_035_127.xyz
3,1,1,0,1,1O:1O:1O,1O,1O,,,5,0.025257627803596687,Cluster_004_036.xyz
0,1,0,9,1,,1O,,::::1S:1S:1S:1S:2S,,4,0.02020610224287735,Cluster_034_141.xyz
0,1,0,1,1,,1O,,1S,,4,0.02020610224287735,Cluster_054_187.xyz
1,0,0,9,1,1O,,,:::1S:1S:2S:2S:2S:2S,,4,0.02020610224287735,Cluster_066_141.xyz
1,1,2,1,1,1O,1O,1O:1O,1S,,4,0.02020610224287735,Cluster_087_094.xyz
0,0,3,1,1,,,1O:1O:1O,2S,,4,0.02020610224287735,Cluster_023_191.xyz
0,1,1,9,1,,1O,1O,1S:1S:1S:1S:2S:2S:2S:2S:2S,,4,0.02020610224287735,Cluster_081_073.xyz
0,0,3,0,1,,,1O:2O:2O,,,4,0.02020610224287735,Cluster_033_189.xyz
1,1,0,1,1,2O,1O,,1S,,4,0.02020610224287735,Cluster_035_084.xyz
1,1,1,1,1,1O,1O,2O,1S,,4,0.02020610224287735,Cluster_086_129.xyz
3,0,1,0,1,:1O:1O,,1O,,,4,0.02020610224287735,Cluster_050_171.xyz
3,0,1,1,1,:1O:1O,,1O,1S,,4,0.02020610224287735,Cluster_007_092.xyz
0,0,1,9,1,,,1O,1S:1S:1S:1S:1S:2S:2S:2S:2S,,4,0.02020610224287735,Cluster_005_136.xyz
0,0,1,9,1,,,1O,1S:1S:1S:1S:2S:2S:2S:2S:2S,,4,0.02020610224287735,Cluster_023_061.xyz
1,0,0,9,1,1O,,,1S:2S:3S:3S:3S:3S:4S:4S:4S,,4,0.02020610224287735,Cluster_013_187.xyz
1,0,1,9,1,1O,,1O,::::1S:1S:1S:1S:2S,,4,0.02020610224287735,Cluster_047_096.xyz
