num_dol,num_fde,num_tfsi,num_ps,num_li,atoms_dol,atoms_fde,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
0,0,2,1,1,,,1O:2O,2S,,8,0.0404122044857547,Cluster_064_084.xyz
1,0,0,9,1,1O,,,1S:1S:2S:3S:3S:3S:3S:3S:3S,,7,0.03536067892503536,Cluster_032_109.xyz
0,0,1,9,1,,,1O,::::1S:1S:2S:2S:2S,,7,0.03536067892503536,Cluster_029_163.xyz
0,0,3,0,1,,,1O:1O:1O,,,7,0.03536067892503536,Cluster_014_135.xyz
1,0,1,9,1,1O,,1O,1S:2S:2S:2S:2S:3S:3S:3S:3S,,7,0.03536067892503536,Cluster_065_140.xyz
1,0,0,9,1,1O,,,::::1S:1S:2S:2S:2S,,7,0.03536067892503536,Cluster_006_074.xyz
1,0,0,9,1,1O,,,2S:2S:2S:2S:2S:2S:2S:2S:2S,,7,0.03536067892503536,Cluster_023_125.xyz
1,0,1,9,1,1O,,1O,1S:1S:1S:1S:1S:2S:2S:2S:2S,,6,0.030309153364316024,Cluster_093_138.xyz
1,0,1,9,1,1O,,1O,1S:1S:2S:2S:2S:2S:2S:2S:2S,,6,0.030309153364316024,Cluster_012_049.xyz
1,0,0,9,1,1O,,,2S:2S:2S:2S:3S:3S:4S:4S:4S,,6,0.030309153364316024,Cluster_032_003.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:2S:2S:3S:3S:3S:3S,,6,0.030309153364316024,Cluster_044_003.xyz
0,0,3,1,1,,,1O:1O:1O,2S,,6,0.030309153364316024,Cluster_023_113.xyz
1,0,0,9,1,1O,,,::::1S:1S:1S:1S:2S,,6,0.030309153364316024,Cluster_065_162.xyz
0,0,1,1,1,,,1O,2S,,5,0.025257627803596687,Cluster_036_073.xyz
0,0,1,9,1,,,1O,:::::1S:1S:1S:1S,,5,0.025257627803596687,Cluster_017_163.xyz
3,0,2,0,1,:1O:1O,,1O:1O,,,5,0.025257627803596687,Cluster_077_129.xyz
