num_dol,num_dtfeg,num_tfsi,num_ps,num_li,atoms_dol,atoms_dtfeg,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
0,0,1,9,1,,,1O,1S:2S:2S:2S:2S:3S:3S:3S:3S,,8,0.0404122044857547,Cluster_032_101.xyz
1,0,1,9,1,1O,,1O,:::::1S:1S:1S:1S,,7,0.03536067892503536,Cluster_092_191.xyz
1,0,0,1,1,1O,,,1S,,6,0.030309153364316024,Cluster_046_040.xyz
0,1,1,1,1,,1O,1O,2S,,6,0.030309153364316024,Cluster_011_046.xyz
0,0,1,1,1,,,1O,2S,,6,0.030309153364316024,Cluster_005_003.xyz
0,0,1,9,1,,,1O,1S:1S:1S:2S:2S:3S:3S:3S:3S,,6,0.030309153364316024,Cluster_037_101.xyz
0,0,3,0,1,,,1O:1O:2O,,,6,0.030309153364316024,Cluster_087_038.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:1S:2S:2S:2S:2S,,6,0.030309153364316024,Cluster_088_166.xyz
1,1,2,0,1,1O,1O,1O:2O,,,5,0.025257627803596687,Cluster_017_184.xyz
0,2,0,0,1,,1O:2O,,,,5,0.025257627803596687,Cluster_001_059.xyz
1,0,2,1,1,1O,,1O:2O,1S,,5,0.025257627803596687,Cluster_029_015.xyz
0,0,2,1,1,,,1O:1O,1S,,5,0.025257627803596687,Cluster_064_170.xyz
0,0,1,1,1,,,1O,3S,,5,0.025257627803596687,Cluster_002_003.xyz
0,1,3,0,1,,2O,1O:1O:1O,,,5,0.025257627803596687,Cluster_029_025.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:1S:2S:2S:2S:2S,,4,0.02020610224287735,Cluster_048_166.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:1S:1S:1S:2S:2S,,4,0.02020610224287735,Cluster_061_040.xyz
1,0,0,1,1,1O,,,4S,,4,0.02020610224287735,Cluster_016_116.xyz
1,0,0,9,1,1O,,,1S:2S:2S:2S:2S:2S:3S:3S:3S,,4,0.02020610224287735,Cluster_099_101.xyz
3,1,0,0,1,1O:1O:1O,1O,,,,4,0.02020610224287735,Cluster_081_098.xyz
0,0,3,0,1,,,1O:2O:2O,,,4,0.02020610224287735,Cluster_081_023.xyz
2,0,3,0,1,1O:1O,,1O:1O:2O,,,4,0.02020610224287735,Cluster_069_093.xyz
3,1,0,0,1,1O:1O:1O,2O,,,,4,0.02020610224287735,Cluster_086_098.xyz
1,0,0,9,1,1O,,,::::1S:1S:1S:1S:2S,,4,0.02020610224287735,Cluster_093_191.xyz
1,1,2,0,1,1O,2O,1O:2O,,,4,0.02020610224287735,Cluster_089_013.xyz
