num_dol,num_dbe,num_tfsi,num_ps,num_li,atoms_dol,atoms_dbe,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
0,1,1,1,1,,1O,1O,2S,,8,0.0404122044857547,Cluster_051_099.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:1S:1S:1S:2S:2S,,8,0.0404122044857547,Cluster_059_085.xyz
0,0,2,1,1,,,1O:2O,2S,,7,0.03536067892503536,Cluster_098_178.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:1S:2S:2S:2S:2S,,7,0.03536067892503536,Cluster_059_001.xyz
1,1,1,1,1,1O,1O,1O,2S,,6,0.030309153364316024,Cluster_031_030.xyz
0,2,2,0,1,,1O:1O,1O:1O,,,6,0.030309153364316024,Cluster_002_026.xyz
1,0,2,1,1,1O,,:1O,1S,,5,0.025257627803596687,Cluster_067_111.xyz
2,0,1,0,1,1O:2O,,2O,,,5,0.025257627803596687,Cluster_051_193.xyz
0,1,0,1,1,,1O,,2S,,5,0.025257627803596687,Cluster_031_034.xyz
0,0,1,9,1,,,1O,1S:1S:1S:2S:2S:2S:2S:2S:2S,,5,0.025257627803596687,Cluster_011_060.xyz
0,0,3,0,1,,,1O:2O:2O,,,5,0.025257627803596687,Cluster_084_171.xyz
1,0,0,9,1,1O,,,:::1S:1S:1S:2S:2S:2S,,5,0.025257627803596687,Cluster_079_192.xyz
0,0,3,1,1,,,1O:1O:1O,2S,,5,0.025257627803596687,Cluster_051_166.xyz
0,2,1,0,1,,1O:1O,1O,,,5,0.025257627803596687,Cluster_007_026.xyz
2,0,1,1,1,1O:2O,,1O,1S,,5,0.025257627803596687,Cluster_040_119.xyz
1,0,0,9,1,1O,,,:::1S:1S:2S:2S:2S:2S,,5,0.025257627803596687,Cluster_076_192.xyz
